Ensembl_ID	Gene_symbol	logFC	FDR	Comparison	LncBook ID	Type	Conservation	miRNA	GWAS	nearest PC
ENSG00000251230	MIR3945HG	8.32175992415833	2.1313446441549095e-292	LPS_Whole_Cell_vs_Control_Whole_Cell	HSALNG0039050	integenic	Not conserved	hsa-miR-619-5p	Mean platelet volume,Mean reticulocyte volume,-	ACSL1
ENSG00000248323	LUCAT1	4.98285793112787	9.695989279718418e-217	LPS_Whole_Cell_vs_Control_Whole_Cell	HSALNG0043427	anti_sense	Q90	hsa-miR-619-5p,hsa-miR-4270,hsa-miR-4290,hsa-miR-5006-5p,hsa-miR-6089	Melanoma,Cervical carcinoma,Hematocrit,Red blood cell density measurement,Erythrocyte count,Body height,Uric acid measurement; Cystatin c measurement,Lean body mass,Hip geometry,Colorectal health,Adolescent idiopathic scoliosis,Colorectal cancer,-	ARRDC3
ENSG00000242048	PRKAG2-AS2	5.70178646115872	2.7510237550314794e-153	LPS_Whole_Cell_vs_Control_Whole_Cell	HSALNG0149841	anti_sense	Not conserved			GALNTL5
ENSG00000234883	MIR155HG	5.59094706064457	4.6774465159148496e-144	LPS_Whole_Cell_vs_Control_Whole_Cell	HSALNG0132382	anti_sense,sense	Q75	hsa-miR-6089,hsa-miR-8485	Neuropsychological test,Intelligence,Response to carboplatin,Nicotine dependence symptom count,Gout,Open-angle glaucoma,Triglyceride measurement,Erythrocyte count,Chronic lymphocytic leukemia,Cerebrospinal fluid biomarker measurement; Alpha synuclein measurement,Duchenne muscular dystrophy; Disease progression measurement,-,Amyloid plaque accumulation rate	JAM2
ENSG00000285744	ENSG00000285744	7.35295714176003	1.6147039615305798e-132	LPS_Whole_Cell_vs_Control_Whole_Cell	HSALNG0066417	integenic	Not conserved			ZC2HC1A
ENSG00000232956	SNHG15	3.09938539699896	2.82615629455928e-66	LPS_Whole_Cell_vs_Control_Whole_Cell	HSALNG0057702	anti_sense,sense	Q50	hsa-miR-4726-3p,hsa-miR-7107-5p	Body height,Diastolic blood pressure,-	MYO1G
ENSG00000260997	ENSG00000260997	5.42490002422447	1.53494463421971e-57	LPS_Whole_Cell_vs_Control_Whole_Cell	NA	NA	NA	NA	NA	MYO1G
ENSG00000253320	MAILR	4.27978161966064	1.00878606073476e-51	LPS_Whole_Cell_vs_Control_Whole_Cell	HSALNG0067488	integenic	Q50			ATP6V1C1
ENSG00000226137	BAIAP2-DT	-3.1699371440607	3.62822004717116e-51	LPS_Whole_Cell_vs_Control_Whole_Cell	HSALNG0119226	integenic	Not conserved	hsa-miR-3943	-	AATK
ENSG00000234456	MAGI2-AS3	4.84976942315197	8.78716809021755e-47	LPS_Whole_Cell_vs_Control_Whole_Cell	HSALNG0059170	anti_sense	Q75	hsa-miR-339-5p,hsa-miR-4447,hsa-miR-3960,hsa-miR-5001-3p,hsa-miR-6749-3p,hsa-miR-6786-5p,hsa-miR-8485	-	GNAI1
ENSG00000251136	RIPK2-DT	3.30780506817118	1.0209327488490999e-46	LPS_Whole_Cell_vs_Control_Whole_Cell	HSALNG0066822	integenic	Q50		Human papilloma virus infection; Oropharynx cancer,-	NBN
ENSG00000255521	CD44-DT	5.5260457614091	8.471658592734119e-42	LPS_Whole_Cell_vs_Control_Whole_Cell	HSALNG0083606	anti_sense	Q50		Response to vitamin,-	SLC1A2
ENSG00000235531	MSC-AS1	2.47670067313659	1.67883282837711e-40	LPS_Whole_Cell_vs_Control_Whole_Cell	HSALNG0066120	anti_sense	Not conserved		Lung carcinoma,Gout,Clinical treatment,Attention deficit hyperactivity disorder,Smoking behaviour measurement,Mental development measurement,Diastolic blood pressure,Forced expiratory volume; Response to bronchodilator,-	KCNB2
ENSG00000266709	ENSG00000266709	8.11876803733814	2.3058761434979998e-37	LPS_Whole_Cell_vs_Control_Whole_Cell	HSALNG0114719	intronic_sense	Q50			HS3ST3B1
