Ensembl_ID	Gene_symbol	Biotype	Comparison	logFC	FDR
ENSG00000000003	TSPAN6	protein_coding	M1_vs_M2	-0.158183959469318	1
ENSG00000000005	TNMD	protein_coding	M1_vs_M2	0	1
ENSG00000000419	DPM1	protein_coding	M1_vs_M2	-0.0490412026565159	1
ENSG00000000457	SCYL3	protein_coding	M1_vs_M2	0.788914808293984	1.41128933833718e-8
ENSG00000000460	C1orf112	protein_coding	M1_vs_M2	-0.319663373991588	0.565500235405869
ENSG00000000938	FGR	protein_coding	M1_vs_M2	-0.531057326195621	2.0644316214599e-15
ENSG00000000971	CFH	protein_coding	M1_vs_M2	5.79304870508025	0.00102933102131787
ENSG00000001036	FUCA2	protein_coding	M1_vs_M2	0.242390423392324	0.00356415629111855
ENSG00000001084	GCLC	protein_coding	M1_vs_M2	-0.0557914507428786	1
ENSG00000001167	NFYA	protein_coding	M1_vs_M2	0.0643374299005264	1
ENSG00000001460	STPG1	protein_coding	M1_vs_M2	0.166924263863045	1
ENSG00000001461	NIPAL3	protein_coding	M1_vs_M2	1.03688974234058	3.3601024847423e-32
ENSG00000001497	LAS1L	protein_coding	M1_vs_M2	-0.152368277453327	0.675567571007784
ENSG00000001561	ENPP4	protein_coding	M1_vs_M2	1.69776310342655	3.58611330721185e-72
ENSG00000001617	SEMA3F	protein_coding	M1_vs_M2	3.78771039413901	0.351499187058923
ENSG00000001626	CFTR	protein_coding	M1_vs_M2	0.464397829737011	1
ENSG00000001629	ANKIB1	protein_coding	M1_vs_M2	0.444885210938491	2.10733488774008e-7
ENSG00000001630	CYP51A1	protein_coding	M1_vs_M2	0.557787836894017	4.31979221886176e-4
ENSG00000001631	KRIT1	protein_coding	M1_vs_M2	0.312483977415665	0.319542598999101
ENSG00000002016	RAD52	protein_coding	M1_vs_M2	-0.17962465920437	0.675567571007784
ENSG00000002079	MYH16	transcribed_unitary_pseudogene	M1_vs_M2	-0.643258831248625	1
ENSG00000002330	BAD	protein_coding	M1_vs_M2	-0.253611551473078	0.321191957724167
ENSG00000002549	LAP3	protein_coding	M1_vs_M2	2.45913570082756	5.36486278387509e-282
ENSG00000002586	CD99	protein_coding	M1_vs_M2	-1.11506725690848	1.88634082971142e-37
ENSG00000002587	HS3ST1	protein_coding	M1_vs_M2	-0.457344169019423	0.225744933439062
ENSG00000002726	AOC1	protein_coding	M1_vs_M2	-0.48228202035975	0.00715863625415698
ENSG00000002745	WNT16	protein_coding	M1_vs_M2	0.759809981586575	1
ENSG00000002746	HECW1	protein_coding	M1_vs_M2	-2.62114374631702	0.675567571007784
ENSG00000002822	MAD1L1	protein_coding	M1_vs_M2	-0.452968100704483	0.455997350898412
ENSG00000002834	LASP1	protein_coding	M1_vs_M2	-0.262418041820439	0.00104687078492466
ENSG00000002919	SNX11	protein_coding	M1_vs_M2	0.76961347682471	8.3108864303109e-21
ENSG00000002933	TMEM176A	protein_coding	M1_vs_M2	0.805353930038946	1.39705449574583e-21
ENSG00000003056	M6PR	protein_coding	M1_vs_M2	0.044431398884826	1
ENSG00000003096	KLHL13	protein_coding	M1_vs_M2	-8.05458738574672	7.61897277145152e-18
ENSG00000003137	CYP26B1	protein_coding	M1_vs_M2	2.07037755503903	0.977987002675087
ENSG00000003147	ICA1	protein_coding	M1_vs_M2	-0.0840255670869218	1
ENSG00000003249	DBNDD1	protein_coding	M1_vs_M2	-1.33199843188919	0.024546645001809
ENSG00000003393	ALS2	protein_coding	M1_vs_M2	0.045342923263262	1
ENSG00000003400	CASP10	protein_coding	M1_vs_M2	1.54760675063946	7.73277177897623e-79
ENSG00000003402	CFLAR	protein_coding	M1_vs_M2	1.52030074164708	2.44749195295401e-124
ENSG00000003436	TFPI	protein_coding	M1_vs_M2	-0.933786435451537	3.38596238210179e-11
ENSG00000003509	NDUFAF7	protein_coding	M1_vs_M2	-0.017325729321152	1
ENSG00000003756	RBM5	protein_coding	M1_vs_M2	-0.156247807753376	0.153896162555291
ENSG00000003987	MTMR7	protein_coding	M1_vs_M2	0.265252384175066	1
ENSG00000003989	SLC7A2	protein_coding	M1_vs_M2	4.73231287314949	2.52909436166051e-7
ENSG00000004059	ARF5	protein_coding	M1_vs_M2	-0.466464190799104	1.22261984731386e-9
ENSG00000004139	SARM1	protein_coding	M1_vs_M2	0.321143580072496	0.524439405350247
ENSG00000004142	POLDIP2	protein_coding	M1_vs_M2	-0.25831575971012	0.036107525644583
ENSG00000004399	PLXND1	protein_coding	M1_vs_M2	-0.015597864923008	1
ENSG00000004455	AK2	protein_coding	M1_vs_M2	0.524235738731689	2.33095871642207e-10
ENSG00000004468	CD38	protein_coding	M1_vs_M2	8.85224682092661	0
ENSG00000004478	FKBP4	protein_coding	M1_vs_M2	0.116609672285078	0.675567571007784
ENSG00000004487	KDM1A	protein_coding	M1_vs_M2	0.0251021402503218	1
ENSG00000004534	RBM6	protein_coding	M1_vs_M2	0.231820324933768	0.0068869062674128
ENSG00000004660	CAMKK1	protein_coding	M1_vs_M2	-1.45203315105735	1.89431907539293e-32
ENSG00000004700	RECQL	protein_coding	M1_vs_M2	0.506550928436697	1.01581979083293e-10
ENSG00000004766	VPS50	protein_coding	M1_vs_M2	-0.0589691764736256	1
ENSG00000004776	HSPB6	protein_coding	M1_vs_M2	0	1
ENSG00000004777	ARHGAP33	protein_coding	M1_vs_M2	-0.321428509548629	0.913820341690124
ENSG00000004779	NDUFAB1	protein_coding	M1_vs_M2	-0.217736550749521	0.0804063558928145
ENSG00000004799	PDK4	protein_coding	M1_vs_M2	-2.76644117177315	8.10543664488364e-92
ENSG00000004809	SLC22A16	protein_coding	M1_vs_M2	-2.35651938417737	2.95013772980053e-26
ENSG00000004838	ZMYND10	protein_coding	M1_vs_M2	-2.28827419257206	4.14036112684042e-5
ENSG00000004846	ABCB5	protein_coding	M1_vs_M2	0.692295168779906	1
ENSG00000004848	ARX	protein_coding	M1_vs_M2	2.88996617215237	0.675567571007784
ENSG00000004864	SLC25A13	protein_coding	M1_vs_M2	-0.439500106917327	3.87929043664121e-6
ENSG00000004866	ST7	protein_coding	M1_vs_M2	-0.902114540047373	1.06652318230202e-18
ENSG00000004897	CDC27	protein_coding	M1_vs_M2	0.521895447548129	5.09359450208455e-10
ENSG00000004939	SLC4A1	protein_coding	M1_vs_M2	0	1
ENSG00000004948	CALCR	protein_coding	M1_vs_M2	-2.72396088494926	0.675567571007784
ENSG00000004961	HCCS	protein_coding	M1_vs_M2	-0.0120389830778215	1
ENSG00000004975	DVL2	protein_coding	M1_vs_M2	0.23066624702691	0.0510265968956245
ENSG00000005001	PRSS22	protein_coding	M1_vs_M2	-1.92637042874428	4.81392939934889e-17
ENSG00000005007	UPF1	protein_coding	M1_vs_M2	0.0905387158489839	0.677914685579992
ENSG00000005020	SKAP2	protein_coding	M1_vs_M2	-0.475396041528267	3.0672540623402e-11
ENSG00000005022	SLC25A5	protein_coding	M1_vs_M2	-0.507305389184251	3.51770359827894e-12
ENSG00000005059	MCUB	protein_coding	M1_vs_M2	0.624775347758407	4.68776506222386e-7
ENSG00000005073	HOXA11	protein_coding	M1_vs_M2	0.180693472718111	1
ENSG00000005075	POLR2J	protein_coding	M1_vs_M2	-0.374649427946036	0.0151766736056238
ENSG00000005100	DHX33	protein_coding	M1_vs_M2	0.121364665770105	0.960401258921747
ENSG00000005102	MEOX1	protein_coding	M1_vs_M2	-1.55523740185797	0.977987002675087
