Ensembl_ID	Gene_symbol	logFC	FDR	Comparison	LncBook ID	Type	Conservation	miRNA	GWAS	nearest PC
ENSG00000251301	LINC02384	6.84630305877101	4.0427672177967296e-236	M1_vs_M2	HSALNG0092162	integenic	Not conserved	hsa-miR-6089		MDM1
ENSG00000248187	ENSG00000248187	-4.24355628199891	1.2770285734223198e-200	M1_vs_M2	HSALNG0037074	integenic	Q50	hsa-miR-6855-5p,hsa-miR-6769b-5p		PGRMC2
ENSG00000174370	KCNJ5-AS1	-2.41448915904432	1.27845923515559e-192	M1_vs_M2	NA	NA	NA	NA	NA	TP53AIP1
ENSG00000251230	MIR3945HG	5.95444878524423	4.64322972561525e-177	M1_vs_M2	HSALNG0039050	integenic	Not conserved	hsa-miR-619-5p	Mean platelet volume,Mean reticulocyte volume,-	ACSL1
ENSG00000260997	ENSG00000260997	6.71908908945695	2.4071103547239598e-144	M1_vs_M2	NA	NA	NA	NA	NA	MYO1G
ENSG00000285744	ENSG00000285744	5.7729476355345	4.378455701114769e-141	M1_vs_M2	HSALNG0066417	integenic	Not conserved			ZC2HC1A
ENSG00000234807	LINC01135	-3.67078943922952	5.413481912484979e-136	M1_vs_M2	HSALNG0003956	anti_sense	Q50	hsa-miR-497-5p,hsa-miR-504-3p,hsa-miR-922,hsa-miR-3197,hsa-miR-5587-3p,hsa-miR-5787,hsa-miR-6722-3p,hsa-miR-6728-3p,hsa-miR-6829-3p,hsa-miR-6873-3p,hsa-miR-7108-3p	Aminoadipic acid measurement,Neuropsychological test,Empathy measurement,Sleep duration,-	FGGY
ENSG00000224307	LINC02975	-3.37771867684195	1.0010592766373099e-131	M1_vs_M2	HSALNG0074715	integenic	Not conserved	hsa-miR-520a-5p,hsa-miR-4492,hsa-miR-4684-3p,hsa-miR-4748,hsa-miR-5693		NA
ENSG00000253522	MIR3142HG	1.71412041837819	7.269581001832279e-118	M1_vs_M2	HSALNG0046249	integenic	Not conserved			PTTG1
ENSG00000251136	RIPK2-DT	2.72828902750186	4.42529233914188e-112	M1_vs_M2	HSALNG0066822	integenic	Q50		Human papilloma virus infection; Oropharynx cancer,-	NBN
ENSG00000197536	IRF1-AS1	3.85180091582228	6.64751659540911e-102	M1_vs_M2	HSALNG0044848	anti_sense,sense	Q50	hsa-miR-33b-5p,hsa-miR-4257,hsa-miR-4463,hsa-miR-6748-3p,hsa-miR-6803-5p	Fibrinogen measurement,Chronic obstructive pulmonary disease,Metabolite measurement,Apolipoprotein b measurement,Glycine measurement,Red blood cell distribution width,Neutrophil percentage of leukocytes,Ulcerative colitis; Diastolic blood pressure; Inflammatory bowel disease; Crohn's disease,Psoriasis; Inflammatory bowel disease; Ulcerative colitis; Ankylosing spondylitis; Crohn's disease; Adult onset asthma; Sclerosing cholangitis,Fibrinogen measurement; Sex hormone-binding globulin measurement,Urinary albumin to creatinine ratio,Diastolic blood pressure; Crohn's disease,Atopic asthma,Eosinophil count; Eosinophil percentage of leukocytes,Mean corpuscular hemoglobin,Nasal cavity polyp; Perceived unattractiveness to mosquitos measurement; Adult onset asthma,Serum metabolite measurement; Low density lipoprotein cholesterol measurement; Crohn's disease; Eczema; Systemic juvenile idiopathic arthritis, polyarticular juvenile idiopathic arthritis, rheumatoid factor negative, oligoarticular juvenile idiopathic arthritis; Rheumatoid arthritis; Aspartate aminotransferase measurement,Respiratory system disease; Adult onset asthma,Carotid plaque build,Low density lipoprotein cholesterol measurement,Chronic obstructive pulmonary disease; Smoking status measurement,Neutrophil count,Fibrinogen measurement; Lymphocyte count,Polycystic ovary syndrome,Fibrinogen measurement; Sex hormone-binding globulin measurement; Balding measurement,Neutrophil percentage of granulocytes; Eosinophil percentage of granulocytes; Mosquito bite reaction itch intensity measurement; Basophil count; Mosquito bite reaction size measurement; Eosinophil percentage of leukocytes; Eosinophil count,Mitochondrial dna measurement,Estrogen-receptor positive breast cancer; Breast carcinoma,Inhalant adrenergic use measurement,Cardiovascular disease,Eosinophil count,Diastolic blood pressure,Lymphocyte percentage of leukocytes,Total cholesterol measurement; Low density lipoprotein cholesterol measurement,Platelet count,Platelet crit,Psoriasis; Ulcerative colitis; Ankylosing spondylitis; Crohn's disease; Sclerosing cholangitis,Eczema; Allergic rhinitis,Fev/fec ratio,Autoimmune thyroid disease; Psoriasis; Common variable immunodeficiency; Mosquito bite reaction itch intensity measurement; Ulcerative colitis; Ankylosing spondylitis; Basophil count; Systemic lupus erythematosus; Crohn's disease; Mosquito bite reaction size measurement; Celiac disease; Autoimmune disease; Juvenile idiopathic arthritis,Psoriasis; Ulcerative colitis; Ankylosing spondylitis; Leukocyte count; Crohn's disease; Eosinophil percentage of leukocytes; Eosinophil count; Sclerosing cholangitis; Aspartate aminotransferase measurement,Hemoglobin a1 measurement,Reticulocyte count; Reticulocyte measurement,-	NA
ENSG00000226281	ENSG00000226281	-2.54381557689593	3.7302224209439096e-100	M1_vs_M2	HSALNG0047836	integenic	Not conserved	hsa-miR-762,hsa-miR-5787		F13A1
ENSG00000223949	ROR1-AS1	-2.41416099659307	7.62117143835665e-93	M1_vs_M2	HSALNG0004144	anti_sense	Q90		Intelligence,Blood protein measurement,-	ITGB3BP
ENSG00000286646	MAP3K5-AS2	-3.64903382531148	8.69528479351065e-85	M1_vs_M2	HSALNG0053719	anti_sense	Q50	hsa-miR-619-5p		PEX7
ENSG00000226091	LINC00937	4.86060764471627	7.373021264913489e-84	M1_vs_M2	HSALNG0089057	integenic	Not conserved	hsa-miR-619-5p,hsa-miR-6089,hsa-miR-6735-5p	Viral load,-	FAM90A1
ENSG00000253838	ENSG00000253838	7.97541456200008	1.68242609588619e-78	M1_vs_M2	HSALNG0150187	sense	Q50		-	IDO1
ENSG00000225792	SNX10-AS1	4.51121131910904	5.64851054565552e-75	M1_vs_M2	HSALNG0056814	anti_sense	Q90	hsa-miR-4505,hsa-miR-1587,hsa-miR-3960	Bmi-adjusted waist-hip ratio,Blood urea nitrogen measurement; Bmi-adjusted waist circumference,Body weight; Body mass index,Bmi-adjusted waist circumference; Bmi-adjusted waist-hip ratio,Vaginal microbiome measurement,-	HNRNPA2B1
ENSG00000276462	LINC03025	7.83634475081874	2.2686662773750303e-74	M1_vs_M2	HSALNG0071581	integenic	Not conserved			FOXD4L6
ENSG00000236700	LINC01010	-1.49154966904276	4.3077500647789897e-70	M1_vs_M2	HSALNG0053623	integenic	Q50	hsa-miR-619-5p,hsa-miR-4267,hsa-miR-4430,hsa-miR-6089	Dental caries,-	TBPL1
ENSG00000226137	BAIAP2-DT	-1.8409811600456	2.4352424381074297e-69	M1_vs_M2	HSALNG0119226	integenic	Not conserved	hsa-miR-3943	-	AATK
