Ensembl_ID	Gene_symbol	logFC	FDR	Comparison	LncBook ID	Type	Conservation	miRNA	GWAS	nearest PC
ENSG00000248187	ENSG00000248187	-7.33361646917455	0	M1_vs_M2	HSALNG0037074	integenic	Q50	hsa-miR-6855-5p,hsa-miR-6769b-5p		PGRMC2
ENSG00000225964	NRIR	5.11887726958499	7.35296978746743e-213	M1_vs_M2	HSALNG0012717	integenic	Q75		Depressive symptom measurement,-	CMPK2
ENSG00000232533	FAM131B-AS2	-3.80333522351336	1.99034151564932e-209	M1_vs_M2	HSALNG0061960	integenic	Not conserved	hsa-miR-10392-3p	-	EPHA1
ENSG00000234147	ENSG00000234147	-2.9599881996284	1.05233229213567e-207	M1_vs_M2	HSALNG0053918	integenic	Q75	hsa-miR-4281,hsa-miR-6776-5p,hsa-miR-8485	3-hydroxypropylmercapturic acid measurement,Susceptibility to bacterial meningitis measurement,Sleep quality,Facial emotion recognition measurement,Response to diisocyanate,Acute lymphoblastic leukemia,Systolic blood pressure change measurement; Response to hydrochlorothiazide,Fev/fec ratio,Reaction time measurement,-	NMBR
ENSG00000247774	PCED1B-AS1	-3.43159981899159	1.0181608729600898e-182	M1_vs_M2	HSALNG0090741	anti_sense	Q50	hsa-miR-619-5p,hsa-miR-3940-5p,hsa-miR-6089	Antihypertensive use measurement,Body height,-	AMIGO2
ENSG00000290525	GBP1P1	9.22208354169072	7.541529995890849e-157	M1_vs_M2	NA	NA	NA	NA	NA	GBP6
ENSG00000285744	ENSG00000285744	11.4798469890051	1.8138103024409297e-150	M1_vs_M2	HSALNG0066417	integenic	Not conserved			ZC2HC1A
ENSG00000231346	LINC01160	-3.28994591357034	5.47188778205925e-149	M1_vs_M2	HSALNG0006063	anti_sense	Q75	hsa-miR-30b-3p,hsa-miR-619-5p,hsa-miR-4787-5p,hsa-miR-6089	Leukocyte count,Lymphocyte count,-	TMIGD3
ENSG00000272405	ENSG00000272405	-3.55003937119258	1.1578857385953998e-147	M1_vs_M2	HSALNG0007612	anti_sense	Q75	hsa-miR-4722-5p,hsa-miR-6511a-3p	Blood protein measurement,-	NES
ENSG00000287733	ENSG00000287733	4.97776564375184	3.559127515627849e-145	M1_vs_M2	HSALNG0061536	integenic	Not conserved	hsa-miR-4761-3p	Monocyte count	TMEM140
ENSG00000222041	CYTOR	-2.55780391857753	9.703294004250429e-141	M1_vs_M2	HSALNG0016642	integenic	Not conserved	hsa-miR-519d-5p,hsa-miR-1343-3p,hsa-miR-5787,hsa-miR-6779-5p,hsa-miR-6800-3p,hsa-miR-6813-5p	Mitochondrial heteroplasmy measurement,-	PLGLB2
ENSG00000251136	RIPK2-DT	2.82094803130293	4.185488933831779e-140	M1_vs_M2	HSALNG0066822	integenic	Q50		Human papilloma virus infection; Oropharynx cancer,-	NBN
ENSG00000223960	CHROMR	4.37558206553726	9.48617779663181e-138	M1_vs_M2	HSALNG0020702	anti_sense	Q50	hsa-miR-6089	Blood protein measurement,Psoriasis; Atopic eczema,-,Oligoclonal band measurement	OSBPL6
ENSG00000245910	SNHG6	-2.04571638228922	5.61920144437275e-134	M1_vs_M2	HSALNG0065926	anti_sense	Q75		-	TCF24
ENSG00000254054	ENSG00000254054	-7.28585320785002	1.07796894041153e-126	M1_vs_M2	HSALNG0063689	anti_sense	Q50	hsa-miR-331-3p,hsa-miR-3194-3p,hsa-miR-4257,hsa-miR-2467-3p		PCM1
ENSG00000197536	IRF1-AS1	4.17582225490479	1.4724768814687199e-123	M1_vs_M2	HSALNG0044848	anti_sense,sense	Q50	hsa-miR-33b-5p,hsa-miR-4257,hsa-miR-4463,hsa-miR-6748-3p,hsa-miR-6803-5p	Fibrinogen measurement,Chronic obstructive pulmonary disease,Metabolite measurement,Apolipoprotein b measurement,Glycine measurement,Red blood cell distribution width,Neutrophil percentage of leukocytes,Ulcerative colitis; Diastolic blood pressure; Inflammatory bowel disease; Crohn's disease,Psoriasis; Inflammatory bowel disease; Ulcerative colitis; Ankylosing spondylitis; Crohn's disease; Adult onset asthma; Sclerosing cholangitis,Fibrinogen measurement; Sex hormone-binding globulin measurement,Urinary albumin to creatinine ratio,Diastolic blood pressure; Crohn's disease,Atopic asthma,Eosinophil count; Eosinophil percentage of leukocytes,Mean corpuscular hemoglobin,Nasal cavity polyp; Perceived unattractiveness to mosquitos measurement; Adult onset asthma,Serum metabolite measurement; Low density lipoprotein cholesterol measurement; Crohn's disease; Eczema; Systemic juvenile idiopathic arthritis, polyarticular juvenile idiopathic arthritis, rheumatoid factor negative, oligoarticular juvenile idiopathic arthritis; Rheumatoid arthritis; Aspartate aminotransferase measurement,Respiratory system disease; Adult onset asthma,Carotid plaque build,Low density lipoprotein cholesterol measurement,Chronic obstructive pulmonary disease; Smoking status measurement,Neutrophil count,Fibrinogen measurement; Lymphocyte count,Polycystic ovary syndrome,Fibrinogen measurement; Sex hormone-binding globulin measurement; Balding measurement,Neutrophil percentage of granulocytes; Eosinophil percentage of granulocytes; Mosquito bite reaction itch intensity measurement; Basophil count; Mosquito bite reaction size measurement; Eosinophil percentage of leukocytes; Eosinophil count,Mitochondrial dna measurement,Estrogen-receptor positive breast cancer; Breast carcinoma,Inhalant adrenergic use measurement,Cardiovascular disease,Eosinophil count,Diastolic blood pressure,Lymphocyte percentage of leukocytes,Total cholesterol measurement; Low density lipoprotein cholesterol measurement,Platelet count,Platelet crit,Psoriasis; Ulcerative colitis; Ankylosing spondylitis; Crohn's disease; Sclerosing cholangitis,Eczema; Allergic rhinitis,Fev/fec ratio,Autoimmune thyroid disease; Psoriasis; Common variable immunodeficiency; Mosquito bite reaction itch intensity measurement; Ulcerative colitis; Ankylosing spondylitis; Basophil count; Systemic lupus erythematosus; Crohn's disease; Mosquito bite reaction size measurement; Celiac disease; Autoimmune disease; Juvenile idiopathic arthritis,Psoriasis; Ulcerative colitis; Ankylosing spondylitis; Leukocyte count; Crohn's disease; Eosinophil percentage of leukocytes; Eosinophil count; Sclerosing cholangitis; Aspartate aminotransferase measurement,Hemoglobin a1 measurement,Reticulocyte count; Reticulocyte measurement,-	NA
ENSG00000226004	LINC02528	11.041577565771	1.04475540339105e-111	M1_vs_M2	HSALNG0053802	integenic	Q50		Eosinophil count; Ejection fraction measurement; Eosinophil percentage of leukocytes,Cardiac troponin t measurement,Rheumatoid arthritis,-	PERP
ENSG00000275202	ENSG00000275202	-4.05474206077295	3.95908292300887e-110	M1_vs_M2	HSALNG0097019	anti_sense	Q75	hsa-miR-4268,hsa-miR-4280,hsa-miR-3960,hsa-miR-4707-5p	-	CAB39L
ENSG00000227066	ENSG00000227066	-3.60233518174601	9.039534737148291e-110	M1_vs_M2	HSALNG0001417	integenic	Not conserved			PLA2G2F
ENSG00000235531	MSC-AS1	2.28017277437944	6.15659698616059e-108	M1_vs_M2	HSALNG0066120	anti_sense	Not conserved		Lung carcinoma,Gout,Clinical treatment,Attention deficit hyperactivity disorder,Smoking behaviour measurement,Mental development measurement,Diastolic blood pressure,Forced expiratory volume; Response to bronchodilator,-	KCNB2
ENSG00000242258	LINC00996	5.179096019905	1.0576052069014399e-103	M1_vs_M2	HSALNG0062275	sense	Not conserved		Electroencephalogram measurement	GIMAP8
ENSG00000205086	LINC02898	-5.1828034981986	5.5298606874952697e-101	M1_vs_M2	NA	NA	NA	NA	NA	COX7A2L
ENSG00000253522	MIR3142HG	4.96222239772802	5.93525125268629e-101	M1_vs_M2	HSALNG0046249	integenic	Not conserved			PTTG1
ENSG00000247095	MIR210HG	-3.82361963669874	6.907327848264239e-100	M1_vs_M2	HSALNG0081992	anti_sense	Q50	hsa-miR-766-3p,hsa-miR-4707-5p,hsa-miR-5587-3p,hsa-miR-6735-5p,hsa-miR-6735-3p,hsa-miR-6858-5p,hsa-miR-7843-5p	Systemic lupus erythematosus,High density lipoprotein cholesterol measurement,-	LMNTD2
ENSG00000175061	SNHG29	-1.94008359248222	1.1810005578433899e-98	M1_vs_M2	HSALNG0114857	anti_sense	Q50	hsa-miR-762,hsa-miR-4520-5p,hsa-miR-6773-5p	Parental longevity,-	TRPV2
ENSG00000247982	LINC00926	3.16331327904602	1.24734395049745e-97	M1_vs_M2	HSALNG0106171	sense	Q50	hsa-miR-4492,hsa-miR-4508,hsa-miR-6803-5p	-	TCF12
ENSG00000290683	ENSG00000290683	4.36697826844398	9.183101370090209e-97	M1_vs_M2	HSALNG0012244	integenic	Not conserved		-	ZNF124
ENSG00000249001	ENSG00000249001	-5.26105195426018	1.1612821715105997e-96	M1_vs_M2	HSALNG0035715	anti_sense	Q50	hsa-miR-4281,hsa-miR-4486	Urate measurement,Sparc-like protein 1 measurement,Idiopathic dilated cardiomyopathy,Body weight,Gout; Urate measurement,Bmi-adjusted hip circumference,Mental or behavioural disorder,Heel bone mineral density,Body height,-,Omega-6:omega-3 polyunsaturated fatty acid ratio; Omega-3 polyunsaturated fatty acid measurement; Docosahexaenoic acid measurement	SPARCL1
ENSG00000253414	LINC01605	-5.3898936467898	2.28593894384018e-96	M1_vs_M2	HSALNG0150382	integenic	Q90	hsa-miR-149-3p,hsa-miR-4486	Body height,Endometriosis,-	BRF2
ENSG00000286548	ENSG00000286548	5.45194631345095	5.632126861090859e-94	M1_vs_M2	HSALNG0005059	anti_sense	Q50		Prostate carcinoma,Blood protein measurement,Total blood protein measurement,Mathematical ability,Adolescent idiopathic scoliosis,Bilirubin measurement,-	GBP5
ENSG00000270069	MIR222HG	-2.18298259687585	1.80598826556234e-88	M1_vs_M2	HSALNG0137593	integenic	Q90	hsa-miR-574-5p,hsa-miR-1343-3p,hsa-miR-6803-5p,hsa-miR-6873-3p,hsa-miR-9899	Body height; Inguinal hernia; Body weight	DIPK2B
ENSG00000289161	ENSG00000289161	2.07282900511314	3.20806543360695e-88	M1_vs_M2	HSALNG0069294	anti_sense	Not conserved	hsa-miR-619-5p	-	MROH6
