Ensembl_ID	Gene_symbol	Biotype	Comparison	logFC	FDR
ENSG00000000003	TSPAN6	protein_coding	M2_vs_M1	0.334449824655049	0.70455143408312
ENSG00000000005	TNMD	protein_coding	M2_vs_M1	-2.1134236360394	0.856586316812697
ENSG00000000419	DPM1	protein_coding	M2_vs_M1	-0.0905588512973237	0.856586316812697
ENSG00000000457	SCYL3	protein_coding	M2_vs_M1	-1.0681395057729	3.82996125225019e-19
ENSG00000000460	C1orf112	protein_coding	M2_vs_M1	0.31262526835191	0.907673218468442
ENSG00000000938	FGR	protein_coding	M2_vs_M1	0.978557351578388	6.01024184385853e-34
ENSG00000000971	CFH	protein_coding	M2_vs_M1	-11.8088623357403	8.82802306733234e-182
ENSG00000001036	FUCA2	protein_coding	M2_vs_M1	0.681153064256218	4.7305962168485996e-18
ENSG00000001084	GCLC	protein_coding	M2_vs_M1	-1.10605779020578	1.48546601988329e-19
ENSG00000001167	NFYA	protein_coding	M2_vs_M1	-0.473716782436942	1.70917103676888e-7
ENSG00000001460	STPG1	protein_coding	M2_vs_M1	-0.595195294657876	0.042554463430093
ENSG00000001461	NIPAL3	protein_coding	M2_vs_M1	-0.159865997408722	0.631077302476515
ENSG00000001497	LAS1L	protein_coding	M2_vs_M1	1.33132267474923	2.61092503180506e-42
ENSG00000001561	ENPP4	protein_coding	M2_vs_M1	-1.09600375439023	7.28044546306362e-10
ENSG00000001617	SEMA3F	protein_coding	M2_vs_M1	-1.51687303848304	6.42127952695818e-9
ENSG00000001626	CFTR	protein_coding	M2_vs_M1	0	1
ENSG00000001629	ANKIB1	protein_coding	M2_vs_M1	-3.08937196225247	1.81106590351201e-142
ENSG00000001630	CYP51A1	protein_coding	M2_vs_M1	-1.9734905533612	9.1830768689466e-5
ENSG00000001631	KRIT1	protein_coding	M2_vs_M1	-0.0832603459531368	1
ENSG00000002016	RAD52	protein_coding	M2_vs_M1	-0.300473790010276	0.57437933030571
ENSG00000002079	MYH16	transcribed_unitary_pseudogene	M2_vs_M1	0	1
ENSG00000002330	BAD	protein_coding	M2_vs_M1	1.54412043171992	1.21712510258564e-31
ENSG00000002549	LAP3	protein_coding	M2_vs_M1	-1.5849171925801	3.75651019893299e-190
ENSG00000002586	CD99	protein_coding	M2_vs_M1	2.24852338350911	2.01214980727932e-142
ENSG00000002587	HS3ST1	protein_coding	M2_vs_M1	-1.44050153501576	0.0512463954202692
