Ensembl_ID	Gene_symbol	Biotype	Comparison	logFC	FDR
ENSG00000000003	TSPAN6	protein_coding	CXCL4_vs_Resting	1.84602642630844	1
ENSG00000000005	TNMD	protein_coding	CXCL4_vs_Resting	0	1
ENSG00000000419	DPM1	protein_coding	CXCL4_vs_Resting	0.437176240637267	1
ENSG00000000457	SCYL3	protein_coding	CXCL4_vs_Resting	0.164824322300266	1
ENSG00000000460	C1orf112	protein_coding	CXCL4_vs_Resting	0.0763919365729125	1
ENSG00000000938	FGR	protein_coding	CXCL4_vs_Resting	0.369135114299306	1
ENSG00000000971	CFH	protein_coding	CXCL4_vs_Resting	-1.40898600549423	1
ENSG00000001036	FUCA2	protein_coding	CXCL4_vs_Resting	0.175216610529956	1
ENSG00000001084	GCLC	protein_coding	CXCL4_vs_Resting	0.825300522469505	1
ENSG00000001167	NFYA	protein_coding	CXCL4_vs_Resting	0.0203480282621758	1
ENSG00000001460	STPG1	protein_coding	CXCL4_vs_Resting	-0.403912798345984	1
ENSG00000001461	NIPAL3	protein_coding	CXCL4_vs_Resting	-0.291482683285334	1
ENSG00000001497	LAS1L	protein_coding	CXCL4_vs_Resting	0.00596461249553287	1
ENSG00000001561	ENPP4	protein_coding	CXCL4_vs_Resting	0.319087544105547	1
ENSG00000001617	SEMA3F	protein_coding	CXCL4_vs_Resting	0.239521293515746	1
ENSG00000001626	CFTR	protein_coding	CXCL4_vs_Resting	-0.494684288586557	1
ENSG00000001629	ANKIB1	protein_coding	CXCL4_vs_Resting	0.22844768140108	1
ENSG00000001630	CYP51A1	protein_coding	CXCL4_vs_Resting	-1.16710974099561	1
ENSG00000001631	KRIT1	protein_coding	CXCL4_vs_Resting	0.282386109412009	1
ENSG00000002016	RAD52	protein_coding	CXCL4_vs_Resting	-0.00191955717191586	1
ENSG00000002079	MYH16	transcribed_unitary_pseudogene	CXCL4_vs_Resting	1.84706985432733	1
ENSG00000002330	BAD	protein_coding	CXCL4_vs_Resting	-1.19091793947725	1
ENSG00000002549	LAP3	protein_coding	CXCL4_vs_Resting	-0.269819593293085	1
ENSG00000002586	CD99	protein_coding	CXCL4_vs_Resting	-0.270325303233192	1
ENSG00000002587	HS3ST1	protein_coding	CXCL4_vs_Resting	-0.181888090167807	1
ENSG00000002726	AOC1	protein_coding	CXCL4_vs_Resting	-1.81294782376956	1
ENSG00000002745	WNT16	protein_coding	CXCL4_vs_Resting	1.04420443668971	1
ENSG00000002746	HECW1	protein_coding	CXCL4_vs_Resting	0	1
ENSG00000002822	MAD1L1	protein_coding	CXCL4_vs_Resting	-0.722915327241803	1
ENSG00000002834	LASP1	protein_coding	CXCL4_vs_Resting	0.0109396042516828	1
ENSG00000002919	SNX11	protein_coding	CXCL4_vs_Resting	-0.0999080083719769	1
ENSG00000002933	TMEM176A	protein_coding	CXCL4_vs_Resting	-1.67041892926069	1
ENSG00000003056	M6PR	protein_coding	CXCL4_vs_Resting	0.123849633534605	1
ENSG00000003096	KLHL13	protein_coding	CXCL4_vs_Resting	-1.97981259107596	1
ENSG00000003137	CYP26B1	protein_coding	CXCL4_vs_Resting	-1.83871380526799	1
ENSG00000003147	ICA1	protein_coding	CXCL4_vs_Resting	-0.193465879889626	1
ENSG00000003249	DBNDD1	protein_coding	CXCL4_vs_Resting	-3.21798349488816	1
ENSG00000003393	ALS2	protein_coding	CXCL4_vs_Resting	0.0362171826065604	1
ENSG00000003400	CASP10	protein_coding	CXCL4_vs_Resting	-0.225805647936488	1
ENSG00000003402	CFLAR	protein_coding	CXCL4_vs_Resting	0.26362314309429	1
ENSG00000003436	TFPI	protein_coding	CXCL4_vs_Resting	0.608335798513924	1
ENSG00000003509	NDUFAF7	protein_coding	CXCL4_vs_Resting	0.308604187535716	1
ENSG00000003756	RBM5	protein_coding	CXCL4_vs_Resting	-0.00675933601674755	1
ENSG00000003987	MTMR7	protein_coding	CXCL4_vs_Resting	0.627904852314154	1
