Ensembl_ID	Gene_symbol	logFC	FDR	Comparison	LncBook ID	Type	Conservation	miRNA	GWAS	nearest PC	Top correlated gene
ENSG00000185433	LINC00158	8.69238854087272	9.77023721830395e-10	ORN8L_vs_Resting	HSALNG0132374	integenic	Not conserved	NA	NA	MRPL39	DPM1
ENSG00000228427	ENSG00000228427	-2.03360598664091	0.0195526499174662	ORN8L_vs_Resting	HSALNG0138463	integenic	Q75	hsa-miR-30b-3p,hsa-miR-6089	Prostate carcinoma	ZMYM3	SARM1
ENSG00000287978	ENSG00000287978	-3.00285752366727	0.0170116347952182	ORN8L_vs_Resting	HSALNG0141895	integenic	Not conserved	NA	NA	POLR3GL	PDK2
ENSG00000271795	ENSG00000271795	-2.46688916919947	0.0114877032246405	ORN8L_vs_Resting	HSALNG0148747	anti_sense	Q90	NA	NA	SLC36A1	OSBPL7
ENSG00000275120	ENSG00000275120	-4.4117134843982	7.76564940666561e-5	ORN8L_vs_Resting	HSALNG0107802	integenic	Not conserved	NA	NA	WDR73	OSBPL7
ENSG00000234263	MAP3K5-AS1	3.08699811528095	0.0259000804344365	ORN8L_vs_Resting	HSALNG0053716	anti_sense	Q75	NA	Unipolar depression	PEX7	TEAD3
ENSG00000232618	HIVEP2-DT	3.72814512242451	9.0436124174004e-5	ORN8L_vs_Resting	HSALNG0054003	anti_sense	Q50	hsa-miR-4279	Mean platelet volume,-	AIG1	GPRC5A
ENSG00000289589	ENSG00000289589	2.87171694247148	0.0348022794922776	ORN8L_vs_Resting	HSALNG0008846	integenic	Not conserved	hsa-miR-619-5p,hsa-miR-7108-5p	Eosinophil count; Eosinophil percentage of leukocytes,Eosinophil count,Neuroimaging measurement; Cortical thickness; Brain measurement,-	STX6	SLAMF7
ENSG00000260997	ENSG00000260997	1.73960560468356	0.0471812282129132	ORN8L_vs_Resting	NA	NA	NA	NA	NA	MYO1G	RIPOR3
ENSG00000272341	ENSG00000272341	2.39311002839284	0.00592954742051643	ORN8L_vs_Resting	HSALNG0048332	anti_sense	Q75	hsa-miR-6799-5p	-	STMND1	NFE2L3
ENSG00000234883	MIR155HG	5.34973053206502	6.027095011737551e-17	ORN8L_vs_Resting	HSALNG0132382	anti_sense,sense	Q75	hsa-miR-6089,hsa-miR-8485	Neuropsychological test,Intelligence,Response to carboplatin,Nicotine dependence symptom count,Gout,Open-angle glaucoma,Triglyceride measurement,Erythrocyte count,Chronic lymphocytic leukemia,Cerebrospinal fluid biomarker measurement; Alpha synuclein measurement,Duchenne muscular dystrophy; Disease progression measurement,-,Amyloid plaque accumulation rate	JAM2	FNIP2
ENSG00000197536	IRF1-AS1	2.2090532951404	0.00153162831175687	ORN8L_vs_Resting	HSALNG0044848	anti_sense,sense	Q50	hsa-miR-33b-5p,hsa-miR-4257,hsa-miR-4463,hsa-miR-6748-3p,hsa-miR-6803-5p	Fibrinogen measurement,Chronic obstructive pulmonary disease,Metabolite measurement,Apolipoprotein b measurement,Glycine measurement,Red blood cell distribution width,Neutrophil percentage of leukocytes,Ulcerative colitis; Diastolic blood pressure; Inflammatory bowel disease; Crohn's disease,Psoriasis; Inflammatory bowel disease; Ulcerative colitis; Ankylosing spondylitis; Crohn's disease; Adult onset asthma; Sclerosing cholangitis,Fibrinogen measurement; Sex hormone-binding globulin measurement,Urinary albumin to creatinine ratio,Diastolic blood pressure; Crohn's disease,Atopic asthma,Eosinophil count; Eosinophil percentage of leukocytes,Mean corpuscular hemoglobin,Nasal cavity polyp; Perceived unattractiveness to mosquitos measurement; Adult onset asthma,Serum metabolite measurement; Low density lipoprotein cholesterol measurement; Crohn's disease; Eczema; Systemic juvenile idiopathic arthritis, polyarticular juvenile idiopathic arthritis, rheumatoid factor negative, oligoarticular juvenile idiopathic arthritis; Rheumatoid arthritis; Aspartate aminotransferase measurement,Respiratory system disease; Adult onset asthma,Carotid plaque build,Low density lipoprotein cholesterol measurement,Chronic obstructive pulmonary disease; Smoking status measurement,Neutrophil count,Fibrinogen measurement; Lymphocyte count,Polycystic ovary syndrome,Fibrinogen measurement; Sex hormone-binding globulin measurement; Balding measurement,Neutrophil percentage of granulocytes; Eosinophil percentage of granulocytes; Mosquito bite reaction itch intensity measurement; Basophil count; Mosquito bite reaction size measurement; Eosinophil percentage of leukocytes; Eosinophil count,Mitochondrial dna measurement,Estrogen-receptor positive breast cancer; Breast carcinoma,Inhalant adrenergic use measurement,Cardiovascular disease,Eosinophil count,Diastolic blood pressure,Lymphocyte percentage of leukocytes,Total cholesterol measurement; Low density lipoprotein cholesterol measurement,Platelet count,Platelet crit,Psoriasis; Ulcerative colitis; Ankylosing spondylitis; Crohn's disease; Sclerosing cholangitis,Eczema; Allergic rhinitis,Fev/fec ratio,Autoimmune thyroid disease; Psoriasis; Common variable immunodeficiency; Mosquito bite reaction itch intensity measurement; Ulcerative colitis; Ankylosing spondylitis; Basophil count; Systemic lupus erythematosus; Crohn's disease; Mosquito bite reaction size measurement; Celiac disease; Autoimmune disease; Juvenile idiopathic arthritis,Psoriasis; Ulcerative colitis; Ankylosing spondylitis; Leukocyte count; Crohn's disease; Eosinophil percentage of leukocytes; Eosinophil count; Sclerosing cholangitis; Aspartate aminotransferase measurement,Hemoglobin a1 measurement,Reticulocyte count; Reticulocyte measurement,-	NA	PARP12
ENSG00000272734	ADIRF-AS1	-1.87847922889087	0.0424619804762627	ORN8L_vs_Resting	HSALNG0079425	anti_sense,sense	Q75	hsa-miR-3620-5p,hsa-miR-4447,hsa-miR-4505,hsa-miR-1587	-	MMRN2	MYLK
ENSG00000255355	PATL1-DT	3.87461217972448	0.00399833793093145	ORN8L_vs_Resting	HSALNG0084422	integenic	Not conserved	hsa-miR-619-5p	NA	STX3	DNTTIP2
ENSG00000288302	ENSG00000288302	-2.55846392252298	0.0249532376352173	ORN8L_vs_Resting	HSALNG0103808	integenic	Not conserved	hsa-miR-5088-5p	NA	RTL1	ROGDI
