Ensembl_ID	Gene_symbol	Biotype	Comparison	logFC	FDR
ENSG00000000003	TSPAN6	protein_coding	LPS_vs_PBS	2.69682196515439	0.098276508650463
ENSG00000000005	TNMD	protein_coding	LPS_vs_PBS	0	1
ENSG00000000419	DPM1	protein_coding	LPS_vs_PBS	0.263429095865538	0.80291680815411
ENSG00000000457	SCYL3	protein_coding	LPS_vs_PBS	1.09205174593074	4.88694528840298e-5
ENSG00000000460	C1orf112	protein_coding	LPS_vs_PBS	-0.791805070097821	0.144626389851985
ENSG00000000938	FGR	protein_coding	LPS_vs_PBS	0.644187341287646	0.052541194385029
ENSG00000000971	CFH	protein_coding	LPS_vs_PBS	1.6011918979579	0.0588847364216858
ENSG00000001036	FUCA2	protein_coding	LPS_vs_PBS	0.376065503726356	0.616053453034891
ENSG00000001084	GCLC	protein_coding	LPS_vs_PBS	-2.07066423381651	5.61881082228221e-9
ENSG00000001167	NFYA	protein_coding	LPS_vs_PBS	0.0531905949148948	1
ENSG00000001460	STPG1	protein_coding	LPS_vs_PBS	0.433259570161311	0.767120419504096
ENSG00000001461	NIPAL3	protein_coding	LPS_vs_PBS	0.0795594684585405	1
ENSG00000001497	LAS1L	protein_coding	LPS_vs_PBS	-0.474912685303575	0.208588890383599
ENSG00000001561	ENPP4	protein_coding	LPS_vs_PBS	0.720066900289399	0.0375165707062225
ENSG00000001617	SEMA3F	protein_coding	LPS_vs_PBS	-0.445597436038124	1
ENSG00000001626	CFTR	protein_coding	LPS_vs_PBS	-2.17204786682039	0.0108343344221739
ENSG00000001629	ANKIB1	protein_coding	LPS_vs_PBS	1.26328061565978	2.87254570328918e-8
ENSG00000001630	CYP51A1	protein_coding	LPS_vs_PBS	1.70513888730746	0.00108352185395791
ENSG00000001631	KRIT1	protein_coding	LPS_vs_PBS	-0.149836693758468	1
ENSG00000002016	RAD52	protein_coding	LPS_vs_PBS	-0.156181128385853	1
ENSG00000002079	MYH16	transcribed_unitary_pseudogene	LPS_vs_PBS	0.911767781480698	1
ENSG00000002330	BAD	protein_coding	LPS_vs_PBS	-0.00958207376180132	1
ENSG00000002549	LAP3	protein_coding	LPS_vs_PBS	3.65326141193262	1.04831935790757e-38
ENSG00000002586	CD99	protein_coding	LPS_vs_PBS	0.452576726664842	0.256129806426344
ENSG00000002587	HS3ST1	protein_coding	LPS_vs_PBS	-1.0055149788518	0.106728173431453
ENSG00000002726	AOC1	protein_coding	LPS_vs_PBS	0.0863324917178387	1
ENSG00000002745	WNT16	protein_coding	LPS_vs_PBS	-1.06545226308003	0.828818185018648
ENSG00000002746	HECW1	protein_coding	LPS_vs_PBS	1.59860494204921	0.598083074707252
ENSG00000002822	MAD1L1	protein_coding	LPS_vs_PBS	-0.460645460908555	0.976499847414638
ENSG00000002834	LASP1	protein_coding	LPS_vs_PBS	-1.51009457403699	4.28580325480901e-7
ENSG00000002919	SNX11	protein_coding	LPS_vs_PBS	0.0730409966535805	1
ENSG00000002933	TMEM176A	protein_coding	LPS_vs_PBS	0.631226762754967	0.948633531989619
ENSG00000003056	M6PR	protein_coding	LPS_vs_PBS	-0.216808688970265	0.923482608328533
ENSG00000003096	KLHL13	protein_coding	LPS_vs_PBS	-0.462952812214888	1
ENSG00000003137	CYP26B1	protein_coding	LPS_vs_PBS	3.49312706731911	0.00217767680209689
ENSG00000003147	ICA1	protein_coding	LPS_vs_PBS	-0.739453381971427	0.228035477092105
ENSG00000003249	DBNDD1	protein_coding	LPS_vs_PBS	-1.14815389936175	0.828818185018648
