"Ensembl_ID"	"Gene_symbol"	"logFC"	"FDR"	"Comparison"	"LncBook.ID"	"Type"	"Conservation"	"miRNA"	"GWAS"	"nearest.PC"	"Top.correlated.gene"
"ENSG00000125462"	"MIR9-1HG"	6.43165725699598	6.28787391972293e-13	"CXCL4+ORN8L_vs_Resting"	"HSALNG0007588"	"sense"	"Not conserved"	NA	NA	"MEF2D"	"ENSG00000279913"
"ENSG00000163597"	"SNHG16"	1.98107139539742	0.00294319935110558	"CXCL4+ORN8L_vs_Resting"	"HSALNG0118862"	"integenic"	"Not conserved"	NA	"Adolescent idiopathic scoliosis,Macular telangiectasia type 2,-"	"PRCD"	"TTI1"
"ENSG00000164385"	"LINC01600"	3.84927882779055	0.00267160550226621	"CXCL4+ORN8L_vs_Resting"	"HSALNG0149331"	"integenic"	"Q50"	"hsa-miR-326,hsa-miR-4472"	"Longevity"	"MYLK4"	"SPATA31E1"
"ENSG00000166770"	"ZNF667-AS1"	-2.81165352115386	0.0272481147121345	"CXCL4+ORN8L_vs_Resting"	"HSALNG0127764"	"anti_sense"	"Not conserved"	"hsa-miR-6895-5p"	"Alkaline phosphatase measurement; Low density lipoprotein cholesterol measurement,-"	"ZNF471"	"GALNT7-DT"
"ENSG00000168367"	"LINC00917"	6.62973867315047	0.00115726042572758	"CXCL4+ORN8L_vs_Resting"	"HSALNG0113287"	"integenic"	"Q50"	"hsa-miR-4638-3p,hsa-miR-6506-5p"	"Diabetic retinopathy,Physical activity,3-hydroxy-1-methylpropylmercapturic acid measurement,Cerebrospinal fluid clusterin measurement,Response to statin,Optic cup area measurement,-"	"MTHFSD"	"ENSG00000259760"
"ENSG00000171889"	"MIR31HG"	6.38647334433113	0.000380330473081224	"CXCL4+ORN8L_vs_Resting"	"HSALNG0070362"	"anti_sense,sense"	"Q50"	"hsa-miR-4483,hsa-miR-6089,hsa-miR-7151-5p"	"Aging,High density lipoprotein cholesterol measurement,Coagulation factor v measurement,Susceptibility to shingles measurement,Thyroid preparation use measurement,Hypothyroidism,Autoimmune disease; Hypothyroidism; Thyroid preparation use measurement,Amblyopia,Macula measurement,Autoimmune thyroid disease,-"	"IFNE"	"MUC22"
"ENSG00000172965"	"MIR4435-2HG"	4.19164891754033	3.38109360826672e-08	"CXCL4+ORN8L_vs_Resting"	"HSALNG0017878"	"integenic"	"Q50"	NA	NA	"ANAPC1"	"SLC2A3"
"ENSG00000173811"	"CCDC13-AS1"	-3.34083952553436	0.0178891523817971	"CXCL4+ORN8L_vs_Resting"	"HSALNG0025449"	"anti_sense"	"Q75"	"hsa-miR-1203"	"-"	"KLHL40"	"FAM228B"
"ENSG00000174370"	"KCNJ5-AS1"	-4.86501728869646	5.70524272626662e-13	"CXCL4+ORN8L_vs_Resting"	NA	NA	NA	NA	NA	"TP53AIP1"	"SARM1"
"ENSG00000176659"	"LINC02910"	-3.4974021645009	0.0236595771705251	"CXCL4+ORN8L_vs_Resting"	"HSALNG0131382"	"integenic"	"Not conserved"	NA	NA	"CDH26"	"ENSG00000229393"
"ENSG00000176754"	"LINC00303"	5.23795403858113	0.00356958409103818	"CXCL4+ORN8L_vs_Resting"	"HSALNG0009845"	"integenic"	"Q50"	"hsa-miR-30b-3p,hsa-miR-320a-5p"	"Response to ziprasidone,-"	"ETNK2"	"SMARCA1"
"ENSG00000177337"	"DLGAP1-AS1"	1.72070203629916	0.0120795384081317	"CXCL4+ORN8L_vs_Resting"	"HSALNG0119714"	"anti_sense"	"Q75"	"hsa-miR-619-5p,hsa-miR-4481,hsa-miR-4505,hsa-miR-1587,hsa-miR-6089,hsa-miR-7111-5p,hsa-miR-7150"	"Mean corpuscular volume,Mean reticulocyte volume,Blood urea nitrogen measurement; Serum urea measurement,Fat body mass,Mean reticulocyte volume; Mean corpuscular volume,Lip morphology measurement,Alanine measurement; Amino acid measurement,-"	"TGIF1"	"SPRED3"
"ENSG00000177369"	"FLJ40194"	-3.51838394165246	0.00478143433419119	"CXCL4+ORN8L_vs_Resting"	"HSALNG0117173"	"integenic"	"Not conserved"	"hsa-miR-6089"	"Testosterone measurement"	"ABI3"	"LIMCH1"
"ENSG00000177738"	"ANXA2R-OT1"	-1.38613984945861	0.041877518924179	"CXCL4+ORN8L_vs_Resting"	"HSALNG0041489"	"integenic"	"Not conserved"	"hsa-miR-619-5p"	"Conotruncal heart malformations"	"ANXA2R"	"RNPEP"
"ENSG00000177757"	"FAM87B"	5.94187613871425	2.42682926913983e-08	"CXCL4+ORN8L_vs_Resting"	"HSALNG0000041"	"integenic"	"Not conserved"	NA	"Unipolar depression,Circadian rhythm,-"	"SAMD11"	"LINC03025"
"ENSG00000177788"	"RAB4A-AS1"	-2.30674293554678	0.0121766963669271	"CXCL4+ORN8L_vs_Resting"	"HSALNG0011302"	"anti_sense"	"Not conserved"	"hsa-miR-188-3p,hsa-miR-4281,hsa-miR-3620-5p,hsa-miR-1587,hsa-miR-4733-3p,hsa-miR-2467-3p,hsa-miR-8485"	"Response to antidepressant,Mean arterial pressure; Alcohol drinking,Parental genotype effect measurement; Food allergy measurement,-"	"CCSAP"	"DPH6"
"ENSG00000178803"	"ADORA2A-AS1"	6.15240736604691	4.20473408095401e-13	"CXCL4+ORN8L_vs_Resting"	"HSALNG0134495"	"anti_sense"	"Q50"	"hsa-miR-370-3p,hsa-miR-6807-3p"	"Alcohol consumption measurement,Acne,Sodium measurement,Glucagon measurement,Coffee consumption measurement,Supramarginal gyrus volume measurement,Tea consumption measurement,Cups of coffee per day measurement,Serum gamma-glutamyl transferase measurement,Coffee consumption measurement; Tea consumption measurement,Alcohol use disorder measurement; Alcohol consumption measurement,-"	"GUCD1"	"ZSWIM7"
"ENSG00000178977"	"LINC00324"	-2.77798795029189	3.37554039660085e-05	"CXCL4+ORN8L_vs_Resting"	"HSALNG0114404"	"overlap_sense,sense"	"Q75"	"hsa-miR-23a-5p,hsa-miR-1260b,hsa-miR-4526"	"Apolipoprotein a 1 measurement,Mitochondrial dna measurement,Panic disorder; Anxiety disorder,Diastolic blood pressure,-,Neuroticism measurement,Monocyte count"	"CTC1"	"HFE"
