Ensembl_ID	Gene_symbol	logFC	FDR	Comparison	LncBook ID	Type	Conservation	miRNA	GWAS	nearest PC	Top correlated gene
ENSG00000103472	RRN3P2	1.23160684490585	0.018652933396277	M2_vs_M0	HSALNG0110562	integenic	Not conserved	NA	NA	LAT	MFAP1
ENSG00000122043	LINC00544	-3.50579546164798	0.00241205460109869	M2_vs_M0	HSALNG0096079	integenic	Not conserved	hsa-miR-4478	-	MTUS2	ENSG00000259081
ENSG00000153363	LINC00467	1.02683572298726	3.83176109634927e-10	M2_vs_M0	HSALNG0010286	integenic	Not conserved	hsa-miR-619-5p,hsa-miR-4463,hsa-miR-6089	-	TRAF5	EOGT
ENSG00000162888	C1orf147	-2.09375607100367	4.8323026322633e-5	M2_vs_M0	NA	NA	NA	NA	NA	EIF2D	IGSF22
ENSG00000167920	KRT10-AS1	1.71857967381664	8.50076853728492e-34	M2_vs_M0	HSALNG0116399	anti_sense	Q75	hsa-miR-3960	Leukocyte count,-	KRTAP4-7	ENSG00000239246
ENSG00000175061	SNHG29	1.02309979363995	8.54765514075603e-29	M2_vs_M0	HSALNG0114857	anti_sense	Q50	hsa-miR-762,hsa-miR-4520-5p,hsa-miR-6773-5p	Parental longevity,-	TRPV2	SURF6
ENSG00000175611	ERCC6L2-AS1	1.25285322018373	0.00729772323870789	M2_vs_M0	HSALNG0073003	integenic	Q50	NA	NA	PTCH1	IER3IP1
ENSG00000176728	TTTY14	1.29163206203398	1.69851716725707e-5	M2_vs_M0	HSALNG0151340	integenic	Not conserved	hsa-miR-30b-3p	NA	HSFY2	RPL21P125
ENSG00000177335	LINC02904	1.29621157918781	0.0495545284555376	M2_vs_M0	HSALNG0069224	integenic	Not conserved	hsa-miR-210-5p,hsa-miR-326,hsa-miR-331-3p,hsa-miR-939-3p,hsa-miR-4292,hsa-miR-1343-3p,hsa-miR-6735-5p	-	LY6E	UBTD2
ENSG00000177369	FLJ40194	-4.82604318382612	0.0372183389087902	M2_vs_M0	HSALNG0117173	integenic	Not conserved	hsa-miR-6089	Testosterone measurement	ABI3	GFM2
ENSG00000177410	ZFAS1	1.78941728700219	5.238695887119769e-75	M2_vs_M0	HSALNG0130661	anti_sense	Q50	hsa-miR-619-5p,hsa-miR-4271,hsa-miR-7112-5p	Body height,Intelligence,Cognitive function measurement,-	DDX27	RAB3IL1
ENSG00000177757	FAM87B	-4.82689414594725	0.0302688086673085	M2_vs_M0	HSALNG0000041	integenic	Not conserved	NA	Unipolar depression,Circadian rhythm,-	SAMD11	FAM87B
ENSG00000177822	TENM3-AS1	5.87671408116683	4.91410638269079e-5	M2_vs_M0	HSALNG0038869	integenic	Q90	NA	NA	DCTD	RLN1
ENSG00000178977	LINC00324	-1.18643895922443	0.0116348605927638	M2_vs_M0	HSALNG0114404	overlap_sense,sense	Q75	hsa-miR-23a-5p,hsa-miR-1260b,hsa-miR-4526	Apolipoprotein a 1 measurement,Mitochondrial dna measurement,Panic disorder; Anxiety disorder,Diastolic blood pressure,-,Neuroticism measurement,Monocyte count	CTC1	KIF20A
ENSG00000180066	LINC02870	-1.92094897227351	6.3153142763751906e-9	M2_vs_M0	HSALNG0081790	integenic	Q50	hsa-miR-1227-5p,hsa-miR-4485-5p,hsa-miR-4514,hsa-miR-4763-3p,hsa-miR-5001-3p,hsa-miR-6813-5p	-	PWWP2B	SEPSECS-AS1
ENSG00000180539	LINC02908	-1.2729095655692	4.459265491928989e-22	M2_vs_M0	HSALNG0075339	anti_sense	Q50	hsa-miR-210-5p,hsa-miR-619-5p,hsa-miR-4308,hsa-miR-4270,hsa-miR-6752-3p	Leukocyte count,Lymphocyte count,-	PAXX	EDNRA
ENSG00000180953	ST20	1.64291217265134	2.6008630440933498e-11	M2_vs_M0	HSALNG0144583	sense	Not conserved	NA	Blood protein measurement	ST20-MTHFS	CFAP126
ENSG00000181577	LINC03040	1.88053547837828	2.80247749280514e-24	M2_vs_M0	NA	NA	NA	NA	NA	TMEM63B	NEDD8
ENSG00000181800	CELF2-AS1	-2.36801966028614	0.00572945899622086	M2_vs_M0	HSALNG0142713	anti_sense	Not conserved	NA	NA	USP6NL	KHDC1-AS1
ENSG00000182165	TP53TG1	1.26499834859805	0.00502112665809596	M2_vs_M0	HSALNG0059377	integenic	Not conserved	NA	Red blood cell distribution width,Lung carcinoma,-	ABCB4	ENSG00000289425
ENSG00000182257	PRR34	-1.44661754128257	0.0372183389087902	M2_vs_M0	HSALNG0147427	integenic	Not conserved	NA	-	WNT7B	ENSG00000259347
ENSG00000182586	LINC00334	4.64771786740428	0.039607756678149	M2_vs_M0	HSALNG0133613	integenic	Not conserved	NA	NA	ADARB1	ENSG00000213791
ENSG00000182912	TSPEAR-AS2	-1.10710461809655	0.00918223671848718	M2_vs_M0	HSALNG0133549	anti_sense	Q75	hsa-miR-4472,hsa-miR-4488	-	KRTAP10-4	LINC00235
ENSG00000183242	WT1-AS	-1.17449814964542	1.47963269869905e-4	M2_vs_M0	HSALNG0083478	integenic	Q90	NA	-	EIF3M	TATDN3
ENSG00000183250	LINC01547	-1.80165419582985	2.1570767547855996e-76	M2_vs_M0	HSALNG0133586	integenic	Not conserved	hsa-miR-1268b,hsa-miR-1273h-5p	Heel bone mineral density	ITGB2	TOM1L1
ENSG00000183822	NCF4-AS1	-4.82656493174034	0.045512038284175	M2_vs_M0	HSALNG0135254	anti_sense	Q50	NA	Neutrophil percentage of granulocytes; Eosinophil count; Eosinophil percentage of granulocytes; Eosinophil percentage of leukocytes,Basophil count,-,Eosinophil count; Atopic eczema; Basophil count; Crohn's disease	PVALB	HSPB9
ENSG00000185433	LINC00158	4.64769524031749	0.0305622553708056	M2_vs_M0	HSALNG0132374	integenic	Not conserved	NA	NA	MRPL39	GSAP
ENSG00000186615	KTN1-AS1	2.45438051192265	2.1720620601996e-6	M2_vs_M0	HSALNG0101474	integenic	Not conserved	NA	NA	TBPL2	TTI1
ENSG00000188185	LINC00265	-2.64855943740704	6.93458291785473e-4	M2_vs_M0	HSALNG0057380	sense	Not conserved	hsa-miR-3925-3p,hsa-miR-6089	-	RALA	ITPRIPL2
ENSG00000188365	NA	-5.13717296325021	0.018950649236725	M2_vs_M0	HSALNG0055874	anti_sense	Q50	hsa-miR-326,hsa-miR-762,hsa-miR-3195,hsa-miR-4505,hsa-miR-4632-3p,hsa-miR-5787,hsa-miR-6803-5p	Pcsk9 protein measurement,-	SLC29A4	ENSG00000267507
ENSG00000196741	LINC01560	-1.18678305458263	0.0369665078703598	M2_vs_M0	HSALNG0137712	anti_sense	Not conserved	NA	NA	ZNF157	ETV1
ENSG00000196756	SNHG17	1.00275067680529	3.75191791329701e-17	M2_vs_M0	HSALNG0129980	integenic	Q50	hsa-miR-25-5p,hsa-miR-619-5p,hsa-miR-3191-5p,hsa-miR-4323,hsa-miR-3620-5p,hsa-miR-4505,hsa-miR-1587,hsa-miR-3960,hsa-miR-4690-3p,hsa-miR-6792-3p,hsa-miR-8485	Excessive daytime sleepiness measurement,Response to fenofibrate; Triglyceride change measurement; Response to simvastatin,-	KIAA1755	LAMC1
ENSG00000197180	ATP6AP1-DT	2.1394524602558	2.2175247323461797e-56	M2_vs_M0	HSALNG0140852	integenic	Q75	hsa-miR-619-5p,hsa-miR-4297,hsa-miR-4279	NA	DNASE1L1	SLC50A1
ENSG00000197301	HMGA2-AS1	-3.67672359735004	2.85083975387545e-81	M2_vs_M0	HSALNG0092012	anti_sense	Not conserved	NA	NA	LLPH	LPIN2
ENSG00000197670	NA	-2.79454920644423	6.18138145155588e-4	M2_vs_M0	HSALNG0130935	anti_sense	Not conserved	NA	Mean reticulocyte volume; Sex hormone-binding globulin measurement; Mean corpuscular volume; Erythrocyte count,Lymphocyte count	TSHZ2	ENSG00000231563
ENSG00000197815	NA	-3.26163044238864	0.00625888021018195	M2_vs_M0	HSALNG0114992	anti_sense	Not conserved	hsa-miR-4492,hsa-miR-6089	Susceptibility to strep throat measurement	RAI1	ENSG00000279561
ENSG00000203446	SUGCT-AS1	3.45671557395041	6.52673979392192e-35	M2_vs_M0	HSALNG0057426	anti_sense	Q90	hsa-miR-6089,hsa-miR-6824-3p	-	MPLKIP	SCOC-AS1
ENSG00000203688	LINC02487	-3.42842663762594	0.00301493421107166	M2_vs_M0	HSALNG0055190	integenic	Not conserved	NA	-	FRMD1	USP51
ENSG00000203706	SERTAD4-AS1	6.67355811450633	2.89144676638199e-7	M2_vs_M0	HSALNG0010241	anti_sense	Q90	hsa-miR-1468-5p,hsa-miR-5787,hsa-miR-6085,hsa-miR-8485	-	NA	ENSG00000259871
ENSG00000203711	LINC02901	2.3177832183881	0.0242933494815798	M2_vs_M0	HSALNG0054705	integenic	Not conserved	hsa-miR-6089	-	SYTL3	ENSG00000271964
ENSG00000203875	SNHG5	1.39581501157813	3.0243712851097696e-25	M2_vs_M0	HSALNG0051708	integenic	Not conserved	hsa-miR-619-5p,hsa-miR-6089	C-x-c motif chemokine 10 measurement,-	NA	NHS
ENSG00000204584	NA	1.56813631261332	1.93446272024494e-4	M2_vs_M0	HSALNG0117217	anti_sense	Q50	hsa-miR-6132	-	KAT7	OSTCP4
ENSG00000205181	LINC00654	-2.03710171589499	0.01412436869179	M2_vs_M0	HSALNG0128395	integenic	Q50	hsa-miR-30b-3p,hsa-miR-4505,hsa-miR-5004-5p,hsa-miR-6089,hsa-miR-6500-5p,hsa-miR-6510-5p,hsa-miR-6776-5p,hsa-miR-7110-3p,hsa-miR-7150	Microglial activation measurement,Apolipoprotein b measurement,-	GPCPD1	PLD2
ENSG00000205414	NA	-1.47098875518125	0.00167994740775909	M2_vs_M0	HSALNG0144931	anti_sense	Q50	NA	NA	SNX20	ENSG00000240036
ENSG00000206195	DUXAP8	-1.40422423559531	1.55895847891198e-5	M2_vs_M0	HSALNG0133782	integenic	Not conserved	hsa-miR-5572,hsa-miR-6165	-	POTEH	PRR34-AS1
ENSG00000206567	NA	1.42167945678865	6.80643202903781e-14	M2_vs_M0	HSALNG0024081	sense	Not conserved	hsa-miR-3620-5p,hsa-miR-3650,hsa-miR-4472,hsa-miR-4486,hsa-miR-4505,hsa-miR-1587,hsa-miR-4747-3p,hsa-miR-6089	NA	EMC3	CYB561D2
ENSG00000213057	C1orf220	-6.37578986680731	7.40033553074355e-5	M2_vs_M0	HSALNG0008703	sense	Q50	NA	High density lipoprotein cholesterol measurement,Apolipoprotein a 1 measurement,Serum gamma-glutamyl transferase measurement	TEX35	NCR1
ENSG00000213373	LINC00671	-2.36802171063268	0.00572945899622086	M2_vs_M0	HSALNG0116587	integenic	Q50	hsa-miR-30b-3p,hsa-miR-363-5p,hsa-miR-331-3p,hsa-miR-619-5p,hsa-miR-1587,hsa-miR-6089,hsa-miR-1273h-5p	Triglyceride measurement,-	BECN1	ACTN4
ENSG00000213888	LINC01521	-1.31719416219483	0.0492337166406974	M2_vs_M0	HSALNG0147275	integenic	Q50	hsa-miR-619-5p	Bmi-adjusted waist circumference; Bmi-adjusted waist-hip ratio,-	DRG1	DERL3
ENSG00000213904	LIPE-AS1	1.14573401192985	0.0197783152610624	M2_vs_M0	HSALNG0126298	anti_sense	Not conserved	hsa-miR-4463	NA	MEGF8	WAKMAR2
ENSG00000214106	PAXIP1-AS2	-2.34558396652265	1.6413286988841699e-19	M2_vs_M0	HSALNG0062534	anti_sense	Q75	NA	Corneal endothelial cell measurement,Cognitive function measurement,-	DPP6	ENSG00000230499
ENSG00000215068	ANXA2R-AS1	-1.8987620740191	8.44149858207508e-12	M2_vs_M0	HSALNG0148589	integenic	Not conserved	NA	NA	ZNF131	DYRK1B
ENSG00000215256	DHRS4-AS1	-1.11715369342859	5.17604488322326e-10	M2_vs_M0	HSALNG0100084	integenic	Q50	hsa-miR-8089	-	NRL	MRPS36
ENSG00000215424	MCM3AP-AS1	-1.14509891133638	7.15122878401158e-4	M2_vs_M0	HSALNG0133721	anti_sense	Q50	hsa-miR-455-3p,hsa-miR-619-5p,hsa-miR-4313,hsa-miR-4447	Lymphocyte count,-	YBEY	POLH
