Ensembl_ID	Gene_symbol	logFC	FDR	Comparison	LncBook ID	Type	Conservation	miRNA	GWAS	nearest PC	Top correlated gene
ENSG00000157306	ZFHX2-AS1	-6.76485530345688	0.0286390056462244	LPS_Cytosol_vs_LPS_Whole_Cell	HSALNG0100050	anti_sense,sense	Q90	hsa-miR-6876-3p,hsa-miR-8082	Eosinophil count,Blood protein measurement,-,Sudden cardiac arrest	THTPA	TNPO2
ENSG00000162888	C1orf147	-7.29023558873912	0.0102305917026896	LPS_Cytosol_vs_LPS_Whole_Cell	NA	NA	NA	NA	NA	EIF2D	ENSG00000225313
ENSG00000172965	MIR4435-2HG	2.52072378892377	1.32719324593231e-4	LPS_Cytosol_vs_LPS_Whole_Cell	HSALNG0017878	integenic	Q50	NA	NA	ANAPC1	GSTM3
ENSG00000174680	GRIK1-AS1	-6.63636719336871	0.0458172779076754	LPS_Cytosol_vs_LPS_Whole_Cell	HSALNG0132566	anti_sense	Q50	NA	Body mass index	BACH1	OR6K4P
ENSG00000177410	ZFAS1	1.03352430257741	0.00551583017145419	LPS_Cytosol_vs_LPS_Whole_Cell	HSALNG0130661	anti_sense	Q50	hsa-miR-619-5p,hsa-miR-4271,hsa-miR-7112-5p	Body height,Intelligence,Cognitive function measurement,-	DDX27	RPL41P2
ENSG00000177738	ANXA2R-OT1	1.49977101773208	0.0320828555016721	LPS_Cytosol_vs_LPS_Whole_Cell	HSALNG0041489	integenic	Not conserved	hsa-miR-619-5p	Conotruncal heart malformations	ANXA2R	BICDL3P
ENSG00000181577	LINC03040	2.62999236659096	3.50697645968897e-4	LPS_Cytosol_vs_LPS_Whole_Cell	NA	NA	NA	NA	NA	TMEM63B	CHRNB1
ENSG00000185433	LINC00158	4.38422127002753	2.9577817467862297e-30	LPS_Cytosol_vs_LPS_Whole_Cell	HSALNG0132374	integenic	Not conserved	NA	NA	MRPL39	DNAAF1
ENSG00000186594	MIR22HG	-3.29488581464296	1.20198894231775e-16	LPS_Cytosol_vs_LPS_Whole_Cell	HSALNG0113835	anti_sense	Q90	hsa-miR-30d-3p,hsa-miR-30e-3p,hsa-miR-4268,hsa-miR-4433a-3p,hsa-miR-4468,hsa-miR-6735-5p	C-reactive protein measurement; Sex hormone-binding globulin measurement; Alkaline phosphatase measurement; Testosterone measurement; Calcium measurement; Urinary albumin to creatinine ratio; Serum albumin measurement; Triglyceride measurement,Calcium measurement; Blood protein measurement; Sex hormone-binding globulin measurement; Serum albumin measurement,-	TLCD2	IRF9
ENSG00000196295	GARS1-DT	-1.58465413270138	3.66315168180588e-4	LPS_Cytosol_vs_LPS_Whole_Cell	HSALNG0057018	integenic	Not conserved	hsa-miR-6838-5p	NA	NA	ELOC
