Ensembl_ID	Gene_symbol	logFC	FDR	Comparison	LncBook ID	Type	Conservation	miRNA	GWAS	nearest PC	Top correlated gene
ENSG00000177410	ZFAS1	1.19755545131918	0.0190674400085783	MSU_vs_Control	HSALNG0130661	anti_sense	Q50	hsa-miR-619-5p,hsa-miR-4271,hsa-miR-7112-5p	Body height,Intelligence,Cognitive function measurement,-	DDX27	DPM1
ENSG00000263683	ENSG00000263683	5.20700694483569	0.00857799183035244	MSU_vs_Control	HSALNG0057013	anti_sense	Q50	hsa-miR-619-5p,hsa-miR-8089	-	GARS1	SEMA3F
ENSG00000276317	ENSG00000276317	2.58396401830481	0.0392543585898283	MSU_vs_Control	HSALNG0131550	anti_sense	Not conserved	hsa-miR-940,hsa-miR-4492,hsa-miR-6752-3p,hsa-miR-6810-5p,hsa-miR-6810-3p,hsa-miR-7160-3p	Hemoglobin a1 measurement	GATA5	ALS2
ENSG00000251381	LINC00958	5.44725129043646	0.00794306448889545	MSU_vs_Control	HSALNG0082749	anti_sense	Q90	hsa-miR-619-5p,hsa-miR-3178,hsa-miR-1268b,hsa-miR-4463,hsa-miR-1199-5p,hsa-miR-6089,hsa-miR-6510-5p,hsa-miR-6763-5p,hsa-miR-7111-3p	Fat body mass,Obesity,-	BTBD10	TAC1
ENSG00000251022	THAP9-AS1	1.3237296002986	0.00223528309977143	MSU_vs_Control	HSALNG0035549	anti_sense,sense	Not conserved	NA	Neutrophil percentage of leukocytes,Eosinophil count,-	SEC31A	IFRD1
ENSG00000226251	LINC02608	2.24214787009949	0.0403856751726494	MSU_vs_Control	HSALNG0010344	integenic	Q50	hsa-miR-619-5p,hsa-miR-4505,hsa-miR-4707-3p,hsa-miR-6773-5p,hsa-miR-7843-5p	Intelligence,Monocyte count,Hemoglobin measurement; Red blood cell density measurement; Erythrocyte count,Neutrophil percentage of leukocytes; Erythrocyte count,Body height,Granulocyte percentage of myeloid white cells; High density lipoprotein cholesterol measurement; Monocyte percentage of leukocytes,Hypermetropia,Astigmatism,Bmi-adjusted waist-hip ratio,Aspartate aminotransferase measurement,Basophil count; Basophil percentage of leukocytes,Basophil count,Self reported educational attainment,Reticulocyte count,Hair colour measurement,-	PACC1	SCIN
ENSG00000288818	ENSG00000288818	4.58645976921886	7.9541701813376e-6	MSU_vs_Control	HSALNG0065278	anti_sense	Q50	NA	Leptin measurement,Mitochondrial dna measurement,Bmi-adjusted waist circumference,Comparative body size at age 10, self-reported,Quality of life during menstruation measurement; Dysmenorrheic pain measurement,-	NPBWR1	MYLIP
ENSG00000215068	ANXA2R-AS1	-1.60999327453084	0.00470312858869158	MSU_vs_Control	HSALNG0148589	integenic	Not conserved	NA	NA	ZNF131	SPRTN
ENSG00000255921	ENSG00000255921	3.73578024941364	0.0173982905278375	MSU_vs_Control	HSALNG0089886	anti_sense	Not conserved	hsa-miR-6763-5p,hsa-miR-7847-3p	-	IRAG2	GPRC5A
ENSG00000174370	KCNJ5-AS1	1.13658213766686	0.0190500575736851	MSU_vs_Control	NA	NA	NA	NA	NA	TP53AIP1	FHL1
ENSG00000230408	BZW1-AS1	4.29844713832717	0.00590148568215088	MSU_vs_Control	HSALNG0021491	anti_sense	Q50	hsa-miR-505-5p,hsa-miR-1207-5p,hsa-miR-4466,hsa-miR-4505,hsa-miR-4787-5p	Response to antidepressant,Cancer,-	CLK1	SLC45A4
ENSG00000261026	ENSG00000261026	5.95309739431136	2.1245689923167e-4	MSU_vs_Control	HSALNG0063933	integenic	Q50	hsa-miR-503-3p	Superior temporal gyrus volume measurement,Age at onset; Refractive error; Myopia	EGR3	SNAPC1
ENSG00000272941	ENSG00000272941	2.37133148789736	6.06805976859423e-5	MSU_vs_Control	HSALNG0061535	anti_sense	Q50	NA	-	TMEM140	RNF19A
ENSG00000236901	MIR600HG	1.76937493070599	0.0179800140593321	MSU_vs_Control	HSALNG0074272	sense	Not conserved	NA	-	STRBP	RRP12
ENSG00000267270	PARD6G-AS1	2.69079682085234	5.6995589048004e-4	MSU_vs_Control	HSALNG0122821	anti_sense,sense	Q50	hsa-miR-33b-3p	-	ADNP2	RRP12
ENSG00000258441	LINC00641	1.78560850682431	4.75044996494954e-6	MSU_vs_Control	HSALNG0099873	integenic	Not conserved	NA	Bipolar disorder,-	HNRNPC	PRDM1
ENSG00000286281	ENSG00000286281	1.83206159423361	0.0118378169760572	MSU_vs_Control	HSALNG0048219	integenic	Not conserved	NA	-	CD83	WDR3
ENSG00000239445	ST3GAL6-AS1	1.54257513048354	0.00442880766725257	MSU_vs_Control	HSALNG0027499	anti_sense	Q50	hsa-miR-937-5p	Leukocyte count; Monocyte count,Vascular endothelial growth factor receptor 3 measurement,Monocyte percentage of leukocytes,Eosinophil count,Keratinocyte carcinoma; Basal cell carcinoma,Leukocyte count,Eosinophil count; Skin neoplasm,Eosinophil count; Eosinophil percentage of leukocytes,Unipolar depression,Non-melanoma skin carcinoma,-	DCBLD2	PPP2R5A
ENSG00000288999	ENSG00000288999	3.8290420670882	4.57113136466463e-8	MSU_vs_Control	HSALNG0010910	integenic	Not conserved	hsa-miR-4467	NA	CAPN2	IDI1
ENSG00000277969	ENSG00000277969	2.12785021628233	1.73490877734297e-5	MSU_vs_Control	HSALNG0116179	integenic	Q75	hsa-miR-1247-5p,hsa-miR-3620-5p,hsa-miR-4505,hsa-miR-1587,hsa-miR-6721-5p	NA	MLLT6	IDI1
