Ensembl_ID	Gene_symbol	logFC	FDR	Comparison	LncBook ID	Type	Conservation	miRNA	GWAS	nearest PC
ENSG00000248429	GASK1B-AS1	-3.82316587602378	5.0226415165642e-29	LPS_vs_Control	HSALNG0038152	anti_sense,sense	Q50	hsa-miR-486-3p,hsa-miR-4466	Blood osmolality measurement,-	TMEM144
ENSG00000290525	GBP1P1	8.50157544270574	2.0002189394907798e-25	LPS_vs_Control	NA	NA	NA	NA	NA	GBP6
ENSG00000253891	ENSG00000253891	8.66994420590751	1.79050342279187e-24	LPS_vs_Control	HSALNG0064035	anti_sense	Q90	hsa-miR-619-5p,hsa-miR-1249-5p,hsa-miR-4447,hsa-miR-4463,hsa-miR-4505,hsa-miR-7106-5p	Bmi-adjusted waist circumference; Body height; Bmi-adjusted hip circumference,Bmi-adjusted waist circumference,Body height,Ankylosing spondylitis,Cleft palate,Necrotizing enterocolitis,Hair colour measurement,Susceptibility to scarlet fever measurement,White matter integrity,Corneal endothelial cell measurement,Idiopathic dilated cardiomyopathy,Mathematical ability,Age at onset,Nicotine withdrawal symptom count,Pallidum volume,Myopia,Brain volume measurement,Seasonality measurement,Interleukin-6 measurement,Forced expiratory volume; Fev/fec ratio; Response to bronchodilator,Fev/fec ratio; Response to bronchodilator,Myocarditis; Response to clozapine,Cingulate cortex measurement; Amyloid-beta measurement,Brain volume measurement; Neuroimaging measurement,-	STC1
ENSG00000291077	ENSG00000291077	5.01843209666452	2.8075466378913197e-23	LPS_vs_Control	NA	NA	NA	NA	NA	ARHGEF19
ENSG00000274536	MIR223HG	-6.13062020242756	2.1301859757155e-22	LPS_vs_Control	HSALNG0138297	anti_sense	Q50	hsa-miR-331-3p	Balding measurement,Eosinophil count,Alopecia,Mean platelet volume; Platelet count,Eosinophil percentage of leukocytes	HEPH
ENSG00000264456	ENSG00000264456	-2.67775295723202	7.95769576274704e-22	LPS_vs_Control	HSALNG0115675	intronic_sense	Not conserved	hsa-miR-6089		RNF135
ENSG00000253838	ENSG00000253838	7.66618411136709	1.0735720065310301e-21	LPS_vs_Control	HSALNG0150187	sense	Q50		-	IDO1
ENSG00000238045	MVP-DT	5.70530970395056	3.74112885638988e-21	LPS_vs_Control	HSALNG0144898	anti_sense	Q90	hsa-miR-4745-3p		CDIPT
ENSG00000266709	ENSG00000266709	4.43426669872331	1.71899281935537e-20	LPS_vs_Control	HSALNG0114719	intronic_sense	Q50			HS3ST3B1
ENSG00000230149	ENSG00000230149	4.62921739548055	3.2290454473577197e-20	LPS_vs_Control	HSALNG0135439	anti_sense,sense	Q90	hsa-miR-1227-5p,hsa-miR-500b-3p	White matter microstructure measurement,-	GTPBP1
ENSG00000288156	ENSG00000288156	-5.2978934748228	3.25529202057254e-19	LPS_vs_Control	HSALNG0123151	intronic_sense	Not conserved		-	NA
ENSG00000280798	LINC00294	-2.49807293452889	9.48306071471776e-19	LPS_vs_Control	HSALNG0083507	anti_sense,sense	Not conserved		-	TCP11L1
ENSG00000285744	ENSG00000285744	7.13571856475628	9.75890575769742e-18	LPS_vs_Control	HSALNG0066417	integenic	Not conserved			ZC2HC1A
ENSG00000259354	ENSG00000259354	4.12779589878746	1.5314549114903e-17	LPS_vs_Control	HSALNG0105653	intronic_antisense	Not conserved			C15orf48
ENSG00000287535	ENSG00000287535	7.18164876776309	1.71285369858401e-17	LPS_vs_Control	HSALNG0064835	integenic	Not conserved	hsa-miR-744-5p,hsa-miR-6089		GPAT4
