Ensembl_ID	Gene_symbol	logFC	FDR	Comparison	LncBook ID	Type	Conservation	miRNA	GWAS	nearest PC	Top correlated gene
ENSG00000163597	SNHG16	-3.72776300650217	1.61030185390344e-5	LPS_Nuclear_vs_LPS_Whole_Cell	HSALNG0118862	integenic	Not conserved	NA	Adolescent idiopathic scoliosis,Macular telangiectasia type 2,-	PRCD	PEX10
ENSG00000170919	TPT1-AS1	1.54519110201745	0.0265095250180382	LPS_Nuclear_vs_LPS_Whole_Cell	HSALNG0096821	anti_sense	Q75	hsa-miR-619-5p,hsa-miR-1233-5p,hsa-miR-1268b,hsa-miR-4486,hsa-miR-4669,hsa-miR-6089,hsa-miR-6834-5p,hsa-miR-6769b-3p,hsa-miR-1273h-5p	Triglyceride measurement; Serum gamma-glutamyl transferase measurement; Urate measurement,Red blood cell distribution width,-	COG3	SLC16A1-AS1
ENSG00000174365	SNHG11	2.363531063618	8.48983790123344e-10	LPS_Nuclear_vs_LPS_Whole_Cell	HSALNG0129985	integenic	Q50	hsa-miR-6787-5p,hsa-miR-6813-5p,hsa-miR-6858-5p	-	RALGAPB	ENSG00000240143
ENSG00000175061	SNHG29	-1.11335626789104	3.0971019586512e-4	LPS_Nuclear_vs_LPS_Whole_Cell	HSALNG0114857	anti_sense	Q50	hsa-miR-762,hsa-miR-4520-5p,hsa-miR-6773-5p	Parental longevity,-	TRPV2	MRPS16
ENSG00000179818	PCBP1-AS1	1.2997244328451	0.0120818220592054	LPS_Nuclear_vs_LPS_Whole_Cell	HSALNG0015776	integenic	Not conserved	hsa-miR-619-5p	NA	ASPRV1	PABPC1
ENSG00000180539	LINC02908	3.26817809072509	0.00448009705063991	LPS_Nuclear_vs_LPS_Whole_Cell	HSALNG0075339	anti_sense	Q50	hsa-miR-210-5p,hsa-miR-619-5p,hsa-miR-4308,hsa-miR-4270,hsa-miR-6752-3p	Leukocyte count,Lymphocyte count,-	PAXX	ENSG00000273007
ENSG00000180953	ST20	4.02435486337801	1.0706097226737001e-10	LPS_Nuclear_vs_LPS_Whole_Cell	HSALNG0144583	sense	Not conserved	NA	Blood protein measurement	ST20-MTHFS	RHPN1
ENSG00000185433	LINC00158	3.07124526047966	5.02455488081913e-10	LPS_Nuclear_vs_LPS_Whole_Cell	HSALNG0132374	integenic	Not conserved	NA	NA	MRPL39	DNAAF1
ENSG00000196668	LINC00173	3.60618402928441	0.0119401657217456	LPS_Nuclear_vs_LPS_Whole_Cell	HSALNG0094327	integenic	Q75	hsa-miR-4297,hsa-miR-7109-5p	-	MAP1LC3B2	ENSG00000228897
ENSG00000196756	SNHG17	1.55024489384447	1.89080049503411e-4	LPS_Nuclear_vs_LPS_Whole_Cell	HSALNG0129980	integenic	Q50	hsa-miR-25-5p,hsa-miR-619-5p,hsa-miR-3191-5p,hsa-miR-4323,hsa-miR-3620-5p,hsa-miR-4505,hsa-miR-1587,hsa-miR-3960,hsa-miR-4690-3p,hsa-miR-6792-3p,hsa-miR-8485	Excessive daytime sleepiness measurement,Response to fenofibrate; Triglyceride change measurement; Response to simvastatin,-	KIAA1755	YES1P1
ENSG00000197182	MIRLET7BHG	3.28961752156883	1.4520397225362599e-12	LPS_Nuclear_vs_LPS_Whole_Cell	HSALNG0135994	integenic	Q50	hsa-miR-920,hsa-miR-939-5p,hsa-miR-3620-5p,hsa-miR-4472,hsa-miR-4505,hsa-miR-1587,hsa-miR-3972,hsa-miR-4707-5p,hsa-miR-5587-3p,hsa-miR-5589-5p,hsa-miR-6775-3p	Birth weight,Wellbeing measurement; Dupuytren contracture,Alcohol use disorder measurement; Alcohol consumption measurement,Body weight,Body height; Body weight,Smoking status measurement,Attention deficit hyperactivity disorder; Bipolar disorder; Major depressive disorder; Autism spectrum disorder,-	PPARA	CRYGS
ENSG00000197568	HHLA3	-2.94247093617841	0.0153538925755579	LPS_Nuclear_vs_LPS_Whole_Cell	NA	NA	NA	NA	NA	CTH	H3-3A
ENSG00000197989	SNHG12	1.40490723906274	2.96303294291114e-6	LPS_Nuclear_vs_LPS_Whole_Cell	HSALNG0002075	anti_sense	Q50	hsa-miR-363-5p,hsa-miR-324-5p,hsa-miR-3178,hsa-miR-4466,hsa-miR-6089,hsa-miR-6890-3p	-	TAF12	ENSG00000259250
ENSG00000198711	SSBP3-AS1	5.22070525723198	0.00342440157908456	LPS_Nuclear_vs_LPS_Whole_Cell	HSALNG0141766	anti_sense	Q50	NA	-	MRPL37	IFFO1
ENSG00000203709	MIR29B2CHG	2.17049198926563	2.51911292083201e-10	LPS_Nuclear_vs_LPS_Whole_Cell	HSALNG0010132	integenic	Q50	NA	Febrile seizure (within the age range of 3 months to 6 years); Mmr-related febrile seizures,Reaction time measurement,Pulse pressure measurement,Red blood cell distribution width	CD34	GNRH1
ENSG00000204044	SLC12A5-AS1	4.63228633738795	0.00109103209395779	LPS_Nuclear_vs_LPS_Whole_Cell	HSALNG0130456	anti_sense	Q75	hsa-miR-4258	Blood protein measurement,Triglyceride measurement; High density lipoprotein cholesterol measurement; Apolipoprotein b measurement,-	NCOA5	LINC00173
ENSG00000204054	LINC00963	1.16924911449962	1.80179592461946e-4	LPS_Nuclear_vs_LPS_Whole_Cell	HSALNG0074742	integenic	Q75	hsa-miR-30b-3p,hsa-miR-619-5p,hsa-miR-1268b,hsa-miR-378g,hsa-miR-4686,hsa-miR-2467-5p,hsa-miR-5088-5p,hsa-miR-6089,hsa-miR-6742-5p,hsa-miR-6803-5p	Body height,-	NTMT1	ZNF580
ENSG00000204261	PSMB8-AS1	1.44034678856082	0.00250075104601801	LPS_Nuclear_vs_LPS_Whole_Cell	HSALNG0049455	anti_sense,sense	Q75	NA	Systemic lupus erythematosus,Iga glomerulonephritis,Kidney disease,-,Platelet-to-lymphocyte ratio,Autoimmune disease	PSMB9	DLAT
ENSG00000205057	CLLU1-AS1	5.43065065602507	3.9278577448058696e-23	LPS_Nuclear_vs_LPS_Whole_Cell	NA	NA	NA	NA	NA	BTG1	MSX1
ENSG00000212694	LINC01089	2.98496718728622	1.6606850053581699e-16	LPS_Nuclear_vs_LPS_Whole_Cell	HSALNG0094605	anti_sense,sense	Q90	hsa-miR-525-3p,hsa-miR-524-3p,hsa-miR-762,hsa-miR-3692-5p,hsa-miR-4433a-3p,hsa-miR-4472,hsa-miR-3155b,hsa-miR-4787-5p,hsa-miR-5581-5p,hsa-miR-5787,hsa-miR-6763-5p,hsa-miR-6803-5p,hsa-miR-4433b-3p	Leukocyte count; Neutrophil count; Myeloid white cell count; Platelet crit,Mean platelet volume,Eosinophil count,-	RHOF	LINC01355
