Ensembl_ID	logFC	FDR	Comparison	LncBook ID	Type	Conservation	miRNA	GWAS	nearest PC
ENSG00000103472	2.97131639422463	4.43722913027741e-4	MUS_vs_PBS	HSALNG0110562	integenic	Not conserved			LAT
ENSG00000163597	1.12183422809242	0.00828667362015082	MUS_vs_PBS	HSALNG0118862	integenic	Not conserved		Adolescent idiopathic scoliosis,Macular telangiectasia type 2,-	PRCD
ENSG00000163915	3.30424124541854	0.0301532060337687	MUS_vs_PBS	HSALNG0031320	anti_sense	Q50	hsa-miR-4435,hsa-miR-6090	Bmi-adjusted hip circumference,Body height,-	SENP2
ENSG00000171889	3.50813807239024	0.0471073685928033	MUS_vs_PBS	HSALNG0070362	anti_sense,sense	Q50	hsa-miR-4483,hsa-miR-6089,hsa-miR-7151-5p	Aging,High density lipoprotein cholesterol measurement,Coagulation factor v measurement,Susceptibility to shingles measurement,Thyroid preparation use measurement,Hypothyroidism,Autoimmune disease; Hypothyroidism; Thyroid preparation use measurement,Amblyopia,Macula measurement,Autoimmune thyroid disease,-	IFNE
ENSG00000174370	1.06680500886193	0.028757802758226	MUS_vs_PBS	NA	NA	NA	NA	NA	TP53AIP1
ENSG00000174403	3.6855740768948	0.00968037128176454	MUS_vs_PBS	HSALNG0131539	integenic	Q50	hsa-miR-612,hsa-miR-762,hsa-miR-4472,hsa-miR-1343-3p,hsa-miR-6775-3p,hsa-miR-6810-3p,hsa-miR-6877-3p	Brain stem volume measurement; Brain volume measurement,Brain volume measurement,-	GATA5
ENSG00000176124	-1.21683930899299	0.0191211246865971	MUS_vs_PBS	HSALNG0097105	anti_sense	Q50	hsa-miR-30b-3p,hsa-miR-619-5p,hsa-miR-4286,hsa-miR-4710,hsa-miR-7152-5p,hsa-miR-8485	Bmi-adjusted waist-hip ratio,Appendicular lean mass; Monocyte count,Sex hormone-binding globulin measurement,Body height,Serum alanine aminotransferase measurement; Forced expiratory volume; Lean body mass; Body height; Vital capacity; Triglyceride measurement,Intelligence,Serum alanine aminotransferase measurement; Sex hormone-binding globulin measurement; Glomerular filtration rate; Creatinine measurement; Bmi-adjusted waist-hip ratio,Bmi-adjusted hip circumference,Monocyte percentage of leukocytes; Monocyte count,Diabetic maculopathy,Body height; Bmi-adjusted hip circumference,Basophil count,Lymphocyte percentage of leukocytes; Lymphocyte count,Leukocyte count,Electrocardiography,Psoriasis,Psoriasis; Bmi-adjusted hip circumference; Primary biliary cirrhosis; Bmi-adjusted waist-hip ratio; Autoimmune disease,Appendicular lean mass,Hematocrit; Hemoglobin measurement; Erythrocyte count,Hypothyroidism,Snoring measurement; Aortic root size,Eczema; Allergic rhinitis,High density lipoprotein cholesterol measurement,Celiac disease,Leukocyte count; Lymphocyte count,Tnf-related apoptosis-inducing ligand measurement,Fatty acid measurement,Diffuse large b-cell lymphoma; Bmi-adjusted hip circumference; Chronic lymphocytic leukemia; Triglyceride measurement,Hematocrit; Hemoglobin measurement,Thyroid peroxidase antibody measurement,Lipoprotein a measurement,Creatinine measurement; Glomerular filtration rate,Eosinophil count; Eosinophil percentage of granulocytes; Eosinophil percentage of leukocytes,Adiponectin measurement,Bmi-adjusted adiponectin measurement,Body mass index,Low density lipoprotein cholesterol measurement,Bmi-adjusted hip circumference; Bmi-adjusted waist-hip ratio,Triglyceride measurement,Left ventricular structural measurement,Fear of severe pain measurement,Hemoglobin measurement,Gamma-aminoisobutyric acid measurement,Eosinophil count,Heel bone mineral density,Prostate carcinoma,Grip strength measurement,Prostate specific antigen measurement,Blood urea nitrogen measurement; Forced expiratory volume,Grip strength measurement; Appendicular lean mass,Magnesium measurement,Caudal anterior cingulate cortex volume measurement,Blood urea nitrogen measurement,Breast carcinoma,Puberty; Heel bone mineral density; Bmi-adjusted hip circumference; Body height; Height growth measurement,Body height; Diastolic blood pressure; Systolic blood pressure,Hip circumference,Body height; Cardiovascular disease; Bmi-adjusted hip circumference; Systolic blood pressure,Transforming growth factor beta measurement,Primary biliary cirrhosis,Appendicular lean mass; Bmi-adjusted hip circumference,Body weight,Waist-hip ratio; Bmi-adjusted waist-hip ratio,Bmi-adjusted waist circumference; Bmi-adjusted waist-hip ratio,Protein measurement,Tumor necrosis factor-alpha measurement,Urinary albumin to creatinine ratio,Body height; Attention deficit hyperactivity disorder,Hematocrit,Bmi-adjusted waist circumference,Osteosarcoma; Bmi-adjusted hip circumference; Bmi-adjusted waist-hip ratio; Inguinal hernia,Bmi-adjusted waist circumference; Bmi-adjusted hip circumference; Waist-hip ratio; Bmi-adjusted waist-hip ratio,Interleukin 9 measurement,Waist-hip ratio; Bmi-adjusted waist-hip ratio; Triglyceride measurement,Snoring measurement,Sphingomyelin 22:0 measurement,Platelet component distribution width,Lymphocyte count,Total blood protein measurement,Hematocrit; Odontogenesis,Blood phosphate measurement,Platelet count,Reticulocyte count; Reticulocyte measurement,Reticulocyte measurement,Hemorrhoid,Anthropometric measurement; Brachial circumference,Bipolar disorder; Unipolar depression,Benign prostatic hyperplasia; Lower urinary tract symptom,Platelet-to-lymphocyte ratio,Eosinophil count; Eosinophil percentage of leukocytes,Total cholesterol measurement,Adolescent idiopathic scoliosis,-	RNASEH2B
ENSG00000177338	6.65708393719081	3.56723246219354e-5	MUS_vs_PBS	HSALNG0118608	integenic	Not conserved		-	SDK2
ENSG00000177410	1.18903376603969	0.0188556533212504	MUS_vs_PBS	HSALNG0130661	anti_sense	Q50	hsa-miR-619-5p,hsa-miR-4271,hsa-miR-7112-5p	Body height,Intelligence,Cognitive function measurement,-	DDX27
ENSG00000178412	3.90163802576836	0.0210609176447139	MUS_vs_PBS	HSALNG0122776	integenic	Not conserved	hsa-miR-6867-3p	Monocyte count,Mean corpuscular hemoglobin	SLC66A2
