Ensembl_ID	Gene_symbol	logFC	FDR	Comparison	LncBook ID	Type	Conservation	miRNA	GWAS	nearest PC
ENSG00000261618	LINC02605	11.6940712523616	1.38683237216325e-59	CXCL4+ORN8L_vs_Resting	HSALNG0150243	integenic	Not conserved		Platelet-to-lymphocyte ratio; Lymphocyte count	ZC2HC1A
ENSG00000234883	MIR155HG	9.87790117941665	1.6165334073242e-46	CXCL4+ORN8L_vs_Resting	HSALNG0132382	anti_sense,sense	Q75	hsa-miR-6089,hsa-miR-8485	Neuropsychological test,Intelligence,Response to carboplatin,Nicotine dependence symptom count,Gout,Open-angle glaucoma,Triglyceride measurement,Erythrocyte count,Chronic lymphocytic leukemia,Cerebrospinal fluid biomarker measurement; Alpha synuclein measurement,Duchenne muscular dystrophy; Disease progression measurement,-,Amyloid plaque accumulation rate	JAM2
ENSG00000251230	MIR3945HG	10.9498799469465	6.66786677780587e-41	CXCL4+ORN8L_vs_Resting	HSALNG0039050	integenic	Not conserved	hsa-miR-619-5p	Mean platelet volume,Mean reticulocyte volume,-	ACSL1
ENSG00000255921	ENSG00000255921	9.39398768210232	3.04612990830188e-38	CXCL4+ORN8L_vs_Resting	HSALNG0089886	anti_sense	Not conserved	hsa-miR-6763-5p,hsa-miR-7847-3p	-	IRAG2
ENSG00000232618	HIVEP2-DT	9.31489499117707	6.164099979692e-38	CXCL4+ORN8L_vs_Resting	HSALNG0054003	anti_sense	Q50	hsa-miR-4279	Mean platelet volume,-	AIG1
ENSG00000250274	ENSG00000250274	9.65988765320079	6.26723847017185e-38	CXCL4+ORN8L_vs_Resting	NA	NA	NA	NA	NA	LCP2
ENSG00000259354	ENSG00000259354	9.79438309338871	1.69456310607832e-37	CXCL4+ORN8L_vs_Resting	HSALNG0105653	intronic_antisense	Not conserved			C15orf48
ENSG00000227591	HSD11B1-AS1	8.70563134141094	1.40376079400259e-32	CXCL4+ORN8L_vs_Resting	HSALNG0142412	anti_sense	Q50		-	LAMB3
ENSG00000231721	LINC-PINT	6.75970807523952	2.11155794767566e-31	CXCL4+ORN8L_vs_Resting	HSALNG0150064	integenic	Q50			KLF14
ENSG00000276462	LINC03025	13.4236780910076	8.814011693963809e-31	CXCL4+ORN8L_vs_Resting	HSALNG0071581	integenic	Not conserved			FOXD4L6
ENSG00000286511	ENSG00000286511	7.18574559022552	6.92658207976928e-28	CXCL4+ORN8L_vs_Resting	HSALNG0052591	integenic	Not conserved	hsa-miR-619-5p	Serum albumin measurement,Risk-taking behaviour,-	ARMC2
ENSG00000236790	LINC00299	7.84514500758793	4.74313958957203e-27	CXCL4+ORN8L_vs_Resting	HSALNG0012827	integenic	Not conserved	hsa-miR-761		KIDINS220
ENSG00000242048	PRKAG2-AS2	5.09935376300778	3.47093122135446e-26	CXCL4+ORN8L_vs_Resting	HSALNG0149841	anti_sense	Not conserved			GALNTL5
ENSG00000226137	BAIAP2-DT	-6.39691534537573	1.75713892676027e-25	CXCL4+ORN8L_vs_Resting	HSALNG0119226	integenic	Not conserved	hsa-miR-3943	-	AATK
ENSG00000265494	ENSG00000265494	10.6131338491822	1.2398838977515399e-23	CXCL4+ORN8L_vs_Resting	NA	NA	NA	NA	NA	COX10
ENSG00000289526	ENSG00000289526	7.66603406785455	4.12818339019761e-23	CXCL4+ORN8L_vs_Resting	HSALNG0083600	anti_sense	Q50		Covid-19,Uterine fibroid,Heel bone mineral density,Systemic lupus erythematosus,Systemic lupus erythematosus; Heel bone mineral density,Uterine fibroid; Bone density,Hip bone mineral density,Sex hormone-binding globulin measurement,Triglyceride measurement; Response to hydrochlorothiazide,-	APIP
ENSG00000273124	ENSG00000273124	10.5482118249054	1.30774998612109e-21	CXCL4+ORN8L_vs_Resting	HSALNG0079637	integenic	Q50	hsa-miR-4650-5p,hsa-miR-6132,hsa-miR-6763-5p	Fibroblast growth factor basic measurement,-	ANKRD1
ENSG00000250929	LINC01181	7.75638707132382	8.32733041755804e-21	CXCL4+ORN8L_vs_Resting	HSALNG0067501	integenic	Q50		Small vessel stroke,Idiopathic osteonecrosis of the femoral head,Attention deficit hyperactivity disorder,Growth-regulated alpha protein measurement,Pelvic organ prolapse,-	BAALC
ENSG00000243089	ENSG00000243089	10.2165935784656	2.41235489496969e-19	CXCL4+ORN8L_vs_Resting	HSALNG0027523	integenic	Q50		Bmi-adjusted waist circumference; Optic cup area measurement,Serum alanine aminotransferase measurement,Precuneus cortex volume measurement,Optic cup area measurement; Optic disc size measurement,Cup-to-disc ratio measurement,Rr interval,Optic disc area measurement,Liver fibrosis measurement,Susceptibility to childhood ear infection measurement,Bmi-adjusted waist circumference,Bmi-adjusted waist-hip ratio,Bmi-adjusted waist circumference; Bmi-adjusted waist-hip ratio,Chronic kidney disease,Body height,Atrophic macular degeneration; Age-related macular degeneration; Wet macular degeneration,Cup-to-disc ratio measurement; Optic cup area measurement,-	FILIP1L
ENSG00000253320	MAILR	5.41558542655921	3.01839032152483e-19	CXCL4+ORN8L_vs_Resting	HSALNG0067488	integenic	Q50			ATP6V1C1
ENSG00000233834	MACC1-DT	8.60247895328441	3.41399003622392e-18	CXCL4+ORN8L_vs_Resting	HSALNG0056475	anti_sense	Q50	hsa-miR-204-3p	Response to antineoplastic agent; Response to etoposide,-	ITGB8
ENSG00000285744	ENSG00000285744	7.51311867303702	4.7855427256220294e-18	CXCL4+ORN8L_vs_Resting	HSALNG0066417	integenic	Not conserved			ZC2HC1A
