Ensembl_ID	Gene_symbol	logFC	FDR	Comparison	LncBook ID	Type	Conservation	miRNA	GWAS	nearest PC	Top correlated gene
ENSG00000215417	MIR17HG	4.87086802357617	0.0114154121629402	Control_Nuclear_vs_Control_Whole_Cell	HSALNG0098601	integenic	Q90	hsa-miR-1224-3p,hsa-miR-3960	Monocyte count,Monocyte percentage of leukocytes,Red blood cell distribution width,Body height,Body height; Bmi-adjusted hip circumference,Self reported educational attainment; Intelligence; Cognitive function measurement,Blood protein measurement,Bmi-adjusted waist circumference; Body height,Bmi-adjusted hip circumference,Self reported educational attainment; Intelligence,Mathematical ability,Self reported educational attainment,-	GPC5	CFH
ENSG00000197182	MIRLET7BHG	3.76191199021471	3.8878485570867394e-11	Control_Nuclear_vs_Control_Whole_Cell	HSALNG0135994	integenic	Q50	hsa-miR-920,hsa-miR-939-5p,hsa-miR-3620-5p,hsa-miR-4472,hsa-miR-4505,hsa-miR-1587,hsa-miR-3972,hsa-miR-4707-5p,hsa-miR-5587-3p,hsa-miR-5589-5p,hsa-miR-6775-3p	Birth weight,Wellbeing measurement; Dupuytren contracture,Alcohol use disorder measurement; Alcohol consumption measurement,Body weight,Body height; Body weight,Smoking status measurement,Attention deficit hyperactivity disorder; Bipolar disorder; Major depressive disorder; Autism spectrum disorder,-	PPARA	AGPAT4
ENSG00000291091	SDHAP4	1.30314483001719	1.2521431112006e-4	Control_Nuclear_vs_Control_Whole_Cell	HSALNG0032044	integenic	Not conserved	hsa-miR-4281	NA	BDH1	MRI1
ENSG00000239569	KMT2E-AS1	2.50762641545267	1.60137184560264e-5	Control_Nuclear_vs_Control_Whole_Cell	HSALNG0060291	anti_sense	Q90	hsa-miR-483-3p,hsa-miR-3620-5p,hsa-miR-1268b,hsa-miR-4505,hsa-miR-1587,hsa-miR-6779-3p,hsa-miR-6887-3p	Intelligence; Mathematical ability,Vital capacity,Intelligence,Risk-taking behaviour,Vitamin d measurement,Interleukin-6 measurement,Self reported educational attainment; Intelligence,-	SRPK2	USE1
ENSG00000269929	MIRLET7A1HG	2.36083693011348	2.03575863661693e-5	Control_Nuclear_vs_Control_Whole_Cell	HSALNG0072889	integenic	Q75	hsa-let-7a-3p,hsa-let-7b-3p,hsa-let-7f-1-3p,hsa-miR-98-3p,hsa-miR-6884-5p,hsa-miR-6893-5p	Fev/fec ratio,Body height,-	PTPDC1	VMP1
ENSG00000291135	FCGR1BP	2.24465930459378	2.07720259584234e-5	Control_Nuclear_vs_Control_Whole_Cell	NA	NA	NA	NA	NA	SRGAP2C	SLC6A16
ENSG00000269893	SNHG8	1.05255291712168	0.00451399233073087	Control_Nuclear_vs_Control_Whole_Cell	HSALNG0036656	anti_sense	Q75	NA	-	NDST3	TMEM161A
ENSG00000251562	MALAT1	-2.46300356249782	3.70086079335225e-5	Control_Nuclear_vs_Control_Whole_Cell	HSALNG0084905	integenic	Q90	hsa-miR-1224-3p,hsa-miR-4667-3p,hsa-miR-6817-5p,hsa-miR-6829-3p,hsa-miR-6832-3p	-	SCYL1	ARFGEF1
ENSG00000215458	AATBC	2.48495039417409	2.94465757595763e-9	Control_Nuclear_vs_Control_Whole_Cell	HSALNG0133454	anti_sense	Not conserved	hsa-miR-6089	-	CSTB	MAST4
ENSG00000232656	IDI2-AS1	-7.74579117739774	0.00221795085884837	Control_Nuclear_vs_Control_Whole_Cell	HSALNG0075528	anti_sense	Q75	hsa-miR-3940-5p,hsa-miR-4433a-3p	Response to candesartan,-	GTPBP4	TGFBR3
ENSG00000277969	ENSG00000277969	1.20519169856079	0.0350093517328084	Control_Nuclear_vs_Control_Whole_Cell	HSALNG0116179	integenic	Q75	hsa-miR-1247-5p,hsa-miR-3620-5p,hsa-miR-4505,hsa-miR-1587,hsa-miR-6721-5p	NA	MLLT6	ACTN1
ENSG00000215256	DHRS4-AS1	-1.20645552785838	0.0466342777100296	Control_Nuclear_vs_Control_Whole_Cell	HSALNG0100084	integenic	Q50	hsa-miR-8089	-	NRL	PUM3
ENSG00000256948	ENSG00000256948	2.28072229442104	9.18564501905794e-5	Control_Nuclear_vs_Control_Whole_Cell	HSALNG0088445	anti_sense	Not conserved	hsa-miR-939-5p	Response to candesartan	SLC6A12	MGST2
ENSG00000288973	ENSG00000288973	-2.69225622108368	0.00422693577040642	Control_Nuclear_vs_Control_Whole_Cell	HSALNG0056961	integenic	Q50	NA	Facial emotion recognition measurement,Periprosthetic osteolysis,-	SCRN1	EIF2AK1
ENSG00000275180	ENSG00000275180	2.08969835031648	6.5442128808172e-4	Control_Nuclear_vs_Control_Whole_Cell	HSALNG0091856	integenic	Q50	hsa-miR-4286	Waist circumference,-	MON2	NME8
ENSG00000247556	OIP5-AS1	-1.33567931783099	1.72330210850929e-6	Control_Nuclear_vs_Control_Whole_Cell	HSALNG0105345	anti_sense,sense	Not conserved	NA	NA	NUSAP1	GMCL1
ENSG00000267121	FMNL1-DT	2.58914161426561	9.71989209903346e-16	Control_Nuclear_vs_Control_Whole_Cell	HSALNG0116830	anti_sense	Q75	hsa-miR-30b-3p,hsa-miR-185-3p,hsa-miR-619-5p,hsa-miR-675-5p,hsa-miR-5589-5p,hsa-miR-6089,hsa-miR-6791-5p,hsa-miR-7108-3p,hsa-miR-8485	Body fat distribution,White matter microstructure measurement,Body height,Thyroid stimulating hormone measurement,Bmi-adjusted hip circumference,-	SPATA32	REC8
