Ensembl_ID	Gene_symbol	logFC	FDR	Comparison	LncBook ID	Type	Conservation	miRNA	GWAS	nearest PC	Top correlated gene
ENSG00000273387	ENSG00000273387	3.03199801344069	3.65111091061994e-6	M2_vs_M1	HSALNG0134940	anti_sense	Q75	hsa-miR-762,hsa-miR-4447,hsa-miR-4505,hsa-miR-6735-5p	Fev/fec ratio,-	SELENOM	HS3ST1
ENSG00000290418	TPTEP1	1.29566082148959	1.56374771266529e-14	M2_vs_M1	HSALNG0133819	integenic	Not conserved	NA	-	IL17RA	DBNDD1
ENSG00000245552	LNCRNA-IUR	-3.0130903002415	8.42797122753479e-7	M2_vs_M1	HSALNG0086562	anti_sense	Q90	hsa-miR-483-3p,hsa-miR-619-5p,hsa-miR-3960	Mean reticulocyte volume; Mean corpuscular hemoglobin concentration; Mean corpuscular hemoglobin; Mean corpuscular volume; Red blood cell density measurement; Erythrocyte count,Red blood cell distribution width,Eosinophil count,Common carotid intimal medial thickness,-	ENDOD1	AGK
ENSG00000254027	LNMICC	1.64906002013248	4.53958320859462e-6	M2_vs_M1	HSALNG0066560	anti_sense	Not conserved	hsa-miR-3195,hsa-miR-4508	-	PMP2	MARK4
ENSG00000248932	COPB2-DT	1.29928053613123	4.85426337997301e-5	M2_vs_M1	HSALNG0029337	integenic	Not conserved	hsa-miR-765	NA	MRPS22	CDKL5
ENSG00000203497	PDCD4-AS1	1.06825881861658	0.0140656709597184	M2_vs_M1	HSALNG0080613	anti_sense	Q50	hsa-miR-6089	Aspartate aminotransferase measurement,-	BBIP1	DLEC1
ENSG00000267197	ENSG00000267197	-3.74582452067594	0.00228008671525276	M2_vs_M1	HSALNG0123939	sense	Not conserved	NA	NA	KEAP1	DLEC1
ENSG00000257027	ENSG00000257027	-1.47010053450997	4.616647553549359e-11	M2_vs_M1	HSALNG0089164	integenic	Not conserved	NA	NA	CLEC2D	ZNF200
ENSG00000248323	LUCAT1	-1.2759599221413	1.11769081756403e-14	M2_vs_M1	HSALNG0043427	anti_sense	Q90	hsa-miR-619-5p,hsa-miR-4270,hsa-miR-4290,hsa-miR-5006-5p,hsa-miR-6089	Melanoma,Cervical carcinoma,Hematocrit,Red blood cell density measurement,Erythrocyte count,Body height,Uric acid measurement; Cystatin c measurement,Lean body mass,Hip geometry,Colorectal health,Adolescent idiopathic scoliosis,Colorectal cancer,-	ARRDC3	CALCOCO1
ENSG00000267397	ENSG00000267397	2.118496364158	0.0471394328055504	M2_vs_M1	HSALNG0120911	integenic	Not conserved	NA	NA	GALNT1	MDH1
ENSG00000287123	ENSG00000287123	3.59631137417458	2.7617351543353e-4	M2_vs_M1	HSALNG0146118	integenic	Q50	hsa-miR-619-5p,hsa-miR-4437,hsa-miR-6124,hsa-miR-6813-5p	-	SLC1A4	ZMYND11
ENSG00000273145	ENSG00000273145	1.00824477022185	0.0176106782352128	M2_vs_M1	HSALNG0135987	sense	Not conserved	hsa-miR-3622b-3p,hsa-miR-1268b,hsa-miR-5001-3p,hsa-miR-6089,hsa-miR-6132,hsa-miR-6803-5p,hsa-miR-6870-5p,hsa-miR-10394-5p	Risk-taking behaviour; Smoking status measurement,Body height,Dupuytren contracture,Unipolar depression,Birth weight,Wellbeing measurement; Dupuytren contracture,Alcohol use disorder measurement; Alcohol consumption measurement,Body weight,Body height; Body weight,Smoking status measurement,Ovarian carcinoma,Sex hormone-binding globulin measurement,Chemokine (c-c motif) ligand 27 measurement,Protein measurement,Electroencephalogram measurement,Total cholesterol measurement; Low density lipoprotein cholesterol measurement,Alkaline phosphatase measurement; Igf-1 measurement,Triglyceride measurement,Behavioural disinhibition measurement,Eosinophil count; Bmi-adjusted hip circumference; Body height; Eosinophil percentage of leukocytes,-,Attention deficit hyperactivity disorder; Bipolar disorder; Major depressive disorder; Autism spectrum disorder	PPARA	RNF10
ENSG00000290927	ENSG00000290927	-2.09434761845974	2.35801378681448e-34	M2_vs_M1	HSALNG0110892	integenic	Not conserved	hsa-miR-210-5p,hsa-miR-320a-5p,hsa-miR-4289,hsa-miR-6132,hsa-miR-6722-3p,hsa-miR-6776-5p	-	KRBOX5	EIPR1
ENSG00000232053	ENSG00000232053	-1.00865729859151	0.00834989635423374	M2_vs_M1	HSALNG0061598	integenic	Q75	hsa-miR-663b	NA	STMP1	FUT8
ENSG00000205414	ENSG00000205414	3.53940392382768	2.59244085717199e-25	M2_vs_M1	HSALNG0144931	anti_sense	Q50	NA	NA	SNX20	RFC1
ENSG00000223704	LINC01422	1.41589189111595	0.0121044380871557	M2_vs_M1	HSALNG0134677	integenic	Not conserved	hsa-miR-7108-3p	-	CRYBA4	MYOM2
ENSG00000255197	ENSG00000255197	1.99878650481164	2.1694444184705503e-58	M2_vs_M1	HSALNG0143174	anti_sense	Q90	NA	Alcohol consumption measurement	SPI1	PHKA2
ENSG00000234394	LINC03025	-7.08125044797397	6.55866647380753e-7	M2_vs_M1	HSALNG0071679	sense	Q50	hsa-miR-762,hsa-miR-4447,hsa-miR-5787,hsa-miR-6124	-	PGM5	DKK3
ENSG00000286176	ENSG00000286176	3.12789341989532	0.00286207906907079	M2_vs_M1	HSALNG0032624	anti_sense	Not conserved	NA	High density lipoprotein cholesterol measurement,Drugs used in diabetes use measurement,Glucose measurement,Hba1c measurement,-,Cholesteryl ester 16:0 measurement,Longevity	PPP2R2C	PIK3CB
ENSG00000291104	BTN2A3P	-1.21048271584741	4.52295522347164e-5	M2_vs_M1	HSALNG0048771	integenic	Not conserved	NA	NA	BTN3A1	KCNQ1
ENSG00000253320	MAILR	-2.91373669860115	8.333251660171199e-32	M2_vs_M1	HSALNG0067488	integenic	Q50	NA	NA	ATP6V1C1	EIF2AK2
ENSG00000234432	LINC02983	3.35108098195784	2.9083139464451e-5	M2_vs_M1	HSALNG0149872	integenic	Q50	hsa-miR-4733-3p	-	TNRC18	SOAT1
ENSG00000226137	BAIAP2-DT	1.84098113852797	2.44209624045201e-69	M2_vs_M1	HSALNG0119226	integenic	Not conserved	hsa-miR-3943	-	AATK	USP13
ENSG00000291091	SDHAP4	1.24406778146563	1.04888764046642e-34	M2_vs_M1	HSALNG0032044	integenic	Not conserved	hsa-miR-4281	NA	BDH1	TBXAS1
ENSG00000234506	LINC01506	1.32970119327304	0.0228360566478709	M2_vs_M1	HSALNG0071693	integenic	Not conserved	hsa-miR-5787	NA	TMEM252	SFSWAP
ENSG00000246640	PICART1	2.74214047790525	6.49764125323033e-6	M2_vs_M1	HSALNG0117242	anti_sense	Q90	hsa-miR-3178,hsa-miR-3620-5p,hsa-miR-1587,hsa-miR-10392-3p	-	SAMD14	ABCA7
ENSG00000253838	ENSG00000253838	-7.97541453537103	1.68487699605858e-78	M2_vs_M1	HSALNG0150187	sense	Q50	NA	-	IDO1	NTN1
ENSG00000235314	LINC00957	1.11157758441575	1.8601729464316e-4	M2_vs_M1	HSALNG0057613	integenic	Not conserved	hsa-miR-619-5p,hsa-miR-4466,hsa-miR-4505,hsa-miR-5585-3p,hsa-miR-6747-3p,hsa-miR-6784-5p	-	DBNL	LRRC40
