Ensembl_ID	Gene_symbol	logFC	FDR	Comparison	LncBook ID	Type	Conservation	miRNA	GWAS	nearest PC
ENSG00000245532	NEAT1	-5.5123586061021	3.3771454027620897e-60	Control_Cytosol_vs_Control_Whole_Cell	HSALNG0084892	integenic	Q50	hsa-miR-4308,hsa-miR-4710,hsa-miR-6724-5p,hsa-miR-6747-3p,hsa-miR-8485	Bmi-adjusted hip circumference,Hemoglobin a1 measurement,-	FRMD8
ENSG00000228526	MIR34AHG	-6.76653408319954	4.3905239456718e-22	Control_Cytosol_vs_Control_Whole_Cell	HSALNG0000682	integenic	Q50	hsa-miR-4279,hsa-miR-500b-3p,hsa-miR-4723-3p,hsa-miR-6724-5p,hsa-miR-6744-3p,hsa-miR-7150,hsa-miR-7152-5p	Granulocyte percentage of myeloid white cells; Monocyte percentage of leukocytes; Monocyte count; Aspartate aminotransferase measurement,Body height,Lean body mass,Linguistic error measurement; Specific language impairment,-	GPR157
ENSG00000232931	LINC00342	-10.7335960112686	3.8541598974525e-18	Control_Cytosol_vs_Control_Whole_Cell	HSALNG0146543	integenic	Not conserved			ANKRD36C
ENSG00000196295	GARS1-DT	-2.91868114078781	1.16685165025364e-13	Control_Cytosol_vs_Control_Whole_Cell	HSALNG0057018	integenic	Not conserved	hsa-miR-6838-5p		NA
ENSG00000251562	MALAT1	-9.85730509067341	6.00693381615495e-13	Control_Cytosol_vs_Control_Whole_Cell	HSALNG0084905	integenic	Q90	hsa-miR-1224-3p,hsa-miR-4667-3p,hsa-miR-6817-5p,hsa-miR-6829-3p,hsa-miR-6832-3p	-	SCYL1
ENSG00000224660	SH3BP5-AS1	-6.15311611444853	1.7271205486580498e-12	Control_Cytosol_vs_Control_Whole_Cell	HSALNG0024394	anti_sense	Q90		-	CAPN7
ENSG00000260565	ERVK13-1	-3.76262210775658	1.9627645595696198e-11	Control_Cytosol_vs_Control_Whole_Cell	HSALNG0109047	anti_sense	Q75	hsa-miR-4323,hsa-miR-3620-5p,hsa-miR-1587,hsa-miR-6089	Intraocular pressure measurement,Aspartate aminotransferase measurement,-	PRSS27
ENSG00000290683	ENSG00000290683	-9.4522612905267	2.58983147050679e-11	Control_Cytosol_vs_Control_Whole_Cell	HSALNG0012244	integenic	Not conserved		-	ZNF124
ENSG00000266835	GAPLINC	2.22536610835128	1.04052615345373e-10	Control_Cytosol_vs_Control_Whole_Cell	HSALNG0119710	sense	Not conserved		Pr interval,Citrulline measurement,-	TGIF1
ENSG00000230551	ENSG00000230551	-5.80639103306466	1.0791525339618601e-10	Control_Cytosol_vs_Control_Whole_Cell	HSALNG0045763	sense	Q90		-	CSNK1A1
ENSG00000237181	PRKAR1B-AS1	2.58593285703966	5.25098727672569e-10	Control_Cytosol_vs_Control_Whole_Cell	HSALNG0055551	anti_sense	Not conserved	hsa-miR-874-3p,hsa-miR-4667-3p,hsa-miR-6749-3p	Erythrocyte count,-	DNAAF5
ENSG00000186594	MIR22HG	-2.89034369639499	6.44422304536628e-10	Control_Cytosol_vs_Control_Whole_Cell	HSALNG0113835	anti_sense	Q90	hsa-miR-30d-3p,hsa-miR-30e-3p,hsa-miR-4268,hsa-miR-4433a-3p,hsa-miR-4468,hsa-miR-6735-5p	C-reactive protein measurement; Sex hormone-binding globulin measurement; Alkaline phosphatase measurement; Testosterone measurement; Calcium measurement; Urinary albumin to creatinine ratio; Serum albumin measurement; Triglyceride measurement,Calcium measurement; Blood protein measurement; Sex hormone-binding globulin measurement; Serum albumin measurement,-	TLCD2
ENSG00000244879	GABPB1-AS1	-3.02148364484547	1.22979524424948e-9	Control_Cytosol_vs_Control_Whole_Cell	HSALNG0105872	anti_sense,sense	Q90	hsa-miR-619-5p,hsa-miR-4505	Superior frontal gyrus volume measurement,Adolescent idiopathic scoliosis,Testosterone measurement,Platelet crit,Breast carcinoma,Fev/fec ratio,Body height,Blood phosphate measurement,-	USP8
ENSG00000271533	ENSG00000271533	-9.11461416979573	2.91072093278436e-9	Control_Cytosol_vs_Control_Whole_Cell	HSALNG0138610	integenic	Q50	hsa-miR-619-5p,hsa-miR-374b-3p,hsa-miR-1205,hsa-miR-374c-5p,hsa-miR-374c-3p,hsa-miR-1268b,hsa-miR-6089,hsa-miR-6124,hsa-miR-6816-3p,hsa-miR-6769b-5p,hsa-miR-6890-5p		RLIM
ENSG00000281649	EBLN3P	-2.48836503111932	3.4625782022767e-9	Control_Cytosol_vs_Control_Whole_Cell	HSALNG0071023	sense	Not conserved		Empathy measurement,Bipolar disorder,Sleep duration,Body mass index,Cardiovascular disease,Mean arterial pressure; Body mass index,Attention deficit hyperactivity disorder; Antisocial behaviour measurement; Substance abuse,Diastolic blood pressure,Chronotype measurement,Body weight,-	ZCCHC7
